kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Jantungnya berdetak sangat keras.,Jantungnya berdetak sangat keras',IPS,Punctuation Error
Tanpa disangka deni menang.,Tanpa disangka deni menang',IPS,Punctuation Error
Deni senang sekali.,Deni senang sekali',IPS,Punctuation Error
Teman-teman dan guru berebutan untuk mengucapkan selamat.,Teman?teman dan guru berebutan untuk mengucapkan selamat.,IPS,Punctuation Error
Peristiwa itu tidak akan pernah ia lupakan.,Peristiwa itu tidak akan pernah ia lupakan',IPS,Punctuation Error
Kamu pun pasti memiliki peristiwa atau pengalaman yang berkesan.,Kamu pun pasti memiliki peristiwa atau pengalaman yang berkesan',IPS,Punctuation Error
Ceritakanlah di depan teman-temanmu peristiwa atau pengalaman berkesan yang pernah kamu alami itu.,Ceritakanlah di depan teman?temanmu peristiwa atau pengalaman berkesan yang pernah kamu alami itu.,IPS,Punctuation Error
"Lewat foto itu pasya mengenang lagi masa lalunya, ketika ia sedang dikhitan.",Lewat foto itu pasya mengenang lagi masa lalunya@ ketika ia sedang dikhitan.,IPS,Punctuation Error
Ternyata dikhitan tidak sakit.,Ternyata dikhitan tidak sakit',IPS,Punctuation Error
Peristiwa khitanan bagi anak laki-laki merupakan peristiwa besar.,Peristiwa khitanan bagi anak laki?laki merupakan peristiwa besar.,IPS,Punctuation Error
Lomba apakah yang diikuti deni?,Lomba apakah yang diikuti deni',IPS,Punctuation Error
Apa yang terjadi setelah deni ditunjuk mewakili sekolahnya?,Apa yang terjadi setelah deni ditunjuk mewakili sekolahnya',IPS,Punctuation Error
Bagaimanakah perasaan deni ketika melihat fotonya?,Bagaimanakah perasaan deni ketika melihat fotonya',IPS,Punctuation Error
Foto apakah yang diperlihatkan pasya kepada arman?,Foto apakah yang diperlihatkan pasya kepada arman',IPS,Punctuation Error
Apakah pasya menangis ketika dikhitan?,Apakah pasya menangis ketika dikhitan',IPS,Punctuation Error
Foto termasuk dokumen diri.,Foto termasuk dokumen diri',IPS,Punctuation Error
Foto berguna untuk mengenang peristiwa dimasa lalu.,Foto berguna untuk mengenang peristiwa dimasa lalu',IPS,Punctuation Error
"Akta kelahiran, kartu keluarga, ktp, ijazah, dan sim adalah dokumen penting.","Akta kelahiran} kartu keluarga, ktp, ijazah, dan sim adalah dokumen penting.",IPS,Punctuation Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir seseorang.,Akta kelahiran disebut juga sebagai surat tanda kenal lahir seseorang',IPS,Punctuation Error
Dokumen penting harus dijaga dan dirawat dengan baik.,Dokumen penting harus dijaga dan dirawat dengan baik',IPS,Punctuation Error
Apa sajakah yang termasuk dokumen penting keluarga?,Apa sajakah yang termasuk dokumen penting keluarga',IPS,Punctuation Error
Apakah alat yang digunakan untuk mengambil foto?,Apakah alat yang digunakan untuk mengambil foto',IPS,Punctuation Error
Sebutkan guna akta kelahiran?,Sebutkan guna akta kelahiran',IPS,Punctuation Error
Mengapa dokumen penting keluarga harus dijaga dan dirawat?,Mengapa dokumen penting keluarga harus dijaga dan dirawat',IPS,Punctuation Error
Dokumen apakah yang harus dimiliki pengendara motor dan mobil?,Dokumen apakah yang harus dimiliki pengendara motor dan mobil',IPS,Punctuation Error
Tiap keluarga punya peristiwa penting.,Tiap keluarga punya peristiwa penting',IPS,Punctuation Error
Ada yang menyenangkan.,Ada yang menyenangkan',IPS,Punctuation Error
Ada yang menyedihkan.,Ada yang menyedihkan',IPS,Punctuation Error
Semuanya sangat berguna.,Semuanya sangat berguna',IPS,Punctuation Error
Kita bisa ambil hikmahnya.,Kita bisa ambil hikmahnya',IPS,Punctuation Error
Guru membimbing anak untuk mengetahui arti peristiwa.,Guru membimbing anak untuk mengetahui arti peristiwa',IPS,Punctuation Error
Guru juga membimbing dan mendorong anak untuk menceritakan peristiwa menyenangkan dalam keluarga.,Guru juga membimbing dan mendorong anak untuk menceritakan peristiwa menyenangkan dalam keluarga',IPS,Punctuation Error
Setiap orang mengalami peristiwa menyenangkan dalam hidupnya.,Setiap orang mengalami peristiwa menyenangkan dalam hidupnya',IPS,Punctuation Error
Peristiwa yang pernah kita alami disebut pengalaman.,Peristiwa yang pernah kita alami disebut pengalaman',IPS,Punctuation Error
Bagaimana denganmu?,Bagaimana denganmu',IPS,Punctuation Error
Apakah kamu juga memiliki peristiwa menyenangkan bersama keluarga?,Apakah kamu juga memiliki peristiwa menyenangkan bersama keluarga',IPS,Punctuation Error
"Ketika berumur enam tahun, ayah dan ibu memasukkan aldo ke sekolah dasar atau sd.",Ketika berumur enam tahun@ ayah dan ibu memasukkan aldo ke sekolah dasar atau sd.,IPS,Punctuation Error
Aldo senang sekali karena di sd lebih banyak teman.,Aldo senang sekali karena di sd lebih banyak teman',IPS,Punctuation Error
Ada laki-laki dan ada perempuan.,Ada laki?laki dan ada perempuan.,IPS,Punctuation Error
Waktu pertama kali ke sekolah aldo diantar ibu.,Waktu pertama kali ke sekolah aldo diantar ibu',IPS,Punctuation Error
Lama-kelamaan aldo jadi berani pergi sendiri ke sekolah.,Lama?kelamaan aldo jadi berani pergi sendiri ke sekolah.,IPS,Punctuation Error
Karena sekolahnya dekat dengan rumah.,Karena sekolahnya dekat dengan rumah',IPS,Punctuation Error
"Pulangnya, aldo berjalan kaki sendirian.",Pulangnya@ aldo berjalan kaki sendirian.,IPS,Punctuation Error
"Di sekolah, aldo belajar bersama teman-teman.","Di sekolah, aldo belajar bersama teman-teman@",IPS,Punctuation Error
Aldo sangat senang belajar di kelas.,Aldo sangat senang belajar di kelas',IPS,Punctuation Error
Semua guru baik dan ramah.,Semua guru baik dan ramah',IPS,Punctuation Error
Ibu guru dan bapak guru selalu sabar membimbing aldo dan teman-teman.,Ibu guru dan bapak guru selalu sabar membimbing aldo dan teman?teman.,IPS,Punctuation Error
Aldo dan teman-teman jadi rajin belajar.,Aldo dan teman?teman jadi rajin belajar.,IPS,Punctuation Error
Astri merayakan ulang tahunnya yang kedelapan.,Astri merayakan ulang tahunnya yang kedelapan',IPS,Punctuation Error
La mengundang teman-temannya ke rumah.,La mengundang teman?temannya ke rumah.,IPS,Punctuation Error
Semua teman menyanyikan lagu selamat ulang tahun sambil bertepuk tangan.,Semua teman menyanyikan lagu selamat ulang tahun sambil bertepuk tangan',IPS,Punctuation Error
