kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya.,Guru mengajarkan anak cara menyimpan dan merwaat dokumen serta koleksi benda berharga pribadi serta keluarganya.,IPS,Transposition Error
Suatu hari mahdi mengajak muti menyusun perangko dalam album.,Suatu hari mahdi mengajak muti menyusun pernagko dalam album.,IPS,Transposition Error
Muti adalah adik mahdi.,Muti adalah kadi mahdi.,IPS,Transposition Error
Mahdi sangat sayang kepada muti.,Mahdi sangat sayang kedpaa muti.,IPS,Transposition Error
"Bersihkan dokumen dan benda koleksi dari kotoran, terutama debu.","Bersihkan dokumen dan benda koleksi dari ktoroan, terutama debu.",IPS,Transposition Error
Simpan dokumen dan benda koleksi di tempat yang kering.,Simpan dokumen dan benda koleksi di temapt yang kering.,IPS,Transposition Error
Jangan lupa bersihkan dulu tempat itu.,Jangan lupa bersihkan uldu tempat itu.,IPS,Transposition Error
Diberi kapur barus supaya tidak ada binatang pengganggu.,Diberi kapur barus supaya tidak ada bintaang pengganggu.,IPS,Transposition Error
Disimpan dengan rapi dan menarik.,Disimnpa dengan rapi dan menarik.,IPS,Transposition Error
Dokumen yang ada di map plastik sekali-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,Dokumen yang ada di map plastik sekli-sekaali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,IPS,Transposition Error
Jawablah pertanyaan-pertanyaan di bawah ini!,Jawablah pertanyaan-pertanyaan di bahwa ini!,IPS,Transposition Error
Apa yang dilakukan mahdi dan muti?,Apa yang dilakukan maihd dan muti?,IPS,Transposition Error
Apa akibatnya jika perangko tidak disusun?,Apa akibatnya jika peragkno tidak disusun?,IPS,Transposition Error
Bagaimana cara merawat dokumen dan benda koleksi?,Bagaimana cara merawat dokumen dan benda kolkesi?,IPS,Transposition Error
Sulit atau mudahkah merawat dokumen dan benda koleksi itu?,Sulit atau mudahkah merawat dokumen dan dbena koleksi itu?,IPS,Transposition Error
Mengapa dokumen yang ada dalam map plastik harus dikeluarkan sekali-sekali?,Mengapa dokumen yang ada dalam map platsik harus dikeluarkan sekali-sekali?,IPS,Transposition Error
Ceritakanlah di depan kelas benda apakah yang kamu dan keluargamu koleksi!,Ceritakanlah di depan kelas benda apakah gyan kamu dan keluargamu koleksi!,IPS,Transposition Error
Ceritakan pula bagaimana cara kamu merawatnya!,Ceritakan pula bagaimana arca kamu merawatnya!,IPS,Transposition Error
Tempelkan foto pada setiap halaman buku gambar.,Tempelkan foto pada setiap halaman buku gamabr.,IPS,Transposition Error
Jangan lupa beri komentarmu atau cerita singkat tentang foto tersebut.,Jangan lupa beri komentarmu atau cerita sinkgat tentang foto tersebut.,IPS,Transposition Error
Hias sesukamu dengan menarik.,Hias sesukamu denagn menarik.,IPS,Transposition Error
Dokumen dan koleksi benda harus selalu dirawat dan dipelihara dengan baik.,Dokumen dan koleksi benda harus selalu dirwaat dan dipelihara dengan baik.,IPS,Transposition Error
"Merupakan contoh dokumen penting adalah foto,  akta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.","Merupakan contoh dokumen penting adalah foto,  akta kelahiran, hijaza, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.",IPS,Transposition Error
Ktp dan sim biasanya dilaminating supaya awet.,Ktp dan sim biasanya dilaminating supaya tawe.,IPS,Transposition Error
Memelihara benda koleksi harus diperhatikan tempat dan kebersihannya.,Memelirhaa benda koleksi harus diperhatikan tempat dan kebersihannya.,IPS,Transposition Error
Merawat dokumen dan benda koleksi dibutuhkan kemauan yang kuat.,Merawat dokumen dan benda koleksi dibutuhkan kemuaan yang kuat.,IPS,Transposition Error
Pilihlah jawaban yang benar!,Pilihlah jawaban gyan benar!,IPS,Transposition Error
Isilah titik-titik di bawah ini dengan jawaban yang benar!,Isilah titik-titik di bawah ini dengan jwabaan yang benar!,IPS,Transposition Error
Jawablah pertanyaan berikut ini dengan singkat dan jelas!,Jawabhla pertanyaan berikut ini dengan singkat dan jelas!,IPS,Transposition Error
Siapakah yang harus memelihara dokumen dan benda koleksi keluarga?,Siapakah yang harus memelihara dokumen dan dbena koleksi keluarga?,IPS,Transposition Error
Apa yang kamu lakukan untuk merawat dan memelihara benda koleksi?,Apa yang kamu lakukan untuk merawat dan memelihara enbda koleksi?,IPS,Transposition Error
Mengapa dokumen dan benda koleksi harus dipelihara?,Mengapa dokumen dan benda koleksi harus diplihaera?,IPS,Transposition Error
Bagaimana cara memelihara koleksi piala?,Bagaimana cara memelihara olkeksi piala?,IPS,Transposition Error
Sebutkan apa saja yang termasuk benda koleksi itu?,Sebutkan apa saja yang termasuk benda kolkesi itu?,IPS,Transposition Error
Kamu pasti menyukai cerita.,Kamu pasti menuykai cerita.,IPS,Transposition Error
Kamu juga suka bercerita.,Kamu juga asuk bercerita.,IPS,Transposition Error
Dokumen keluarga sebagai sumber cerita.,Dokumen keluarga sebagai suembr cerita.,IPS,Transposition Error
Bisakah kamu bercerita berdasar dokumen keluarga?,Bisakah kamu bercerita berdsaar dokumen keluarga?,IPS,Transposition Error
Suatu hari roni melihat album foto di lemari.,Suatu hari roni melihat album foto id lemari.,IPS,Transposition Error
Ternyata album itu berisi foto-foto dirinya.,Ternyata album itu besrii foto-foto dirinya.,IPS,Transposition Error
Ada fotonya ketika masih bayi sedang digendong ibu.,Ada fotonya ketika masih bayi sedang dignedong ibu.,IPS,Transposition Error
Waktu itu roni baru dilahirkan.,Waktu itu roni arbu dilahirkan.,IPS,Transposition Error
"Ada pula foto-foto lainnya bersama keluarga, ketika roni masih kecil.","Ada pula foto-foto lainnya bersama keluarga, ketkia roni masih kecil.",IPS,Transposition Error
"Kalau melihat foto, kita bisa mengenang masa lalu.","Kalau melihat foto, kita bisa mengenang amsa lalu.",IPS,Transposition Error
Kamu bisa melihat dirimu ketika baru berumur satu tahun.,Kamu bisa melihat dirimu ketika baru bermuur satu tahun.,IPS,Transposition Error
Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa.,Foto bisa mengingatkan kembali kenangan yang asudh kamu lupa.,IPS,Transposition Error
Apakah kamu pernah difoto?,Apakah kamu peranh difoto?,IPS,Transposition Error
Di mana kamu difoto?,Di mana ukam difoto?,IPS,Transposition Error
Dengan siapa kamu difoto?,Dengan siapa ukam difoto?,IPS,Transposition Error
Foto harus disimpan dengan baik.,Foto harus disimpan deangn baik.,IPS,Transposition Error
Guru membimbing anak agar mereka mengetahui arti dokumen dan macam-macam dokumen.,Guru membimbing anak agar mereka mengetahui iart dokumen dan macam-macam dokumen.,IPS,Transposition Error
Guru memperlihatkan macam-macam dokumen.,Guru memperlihatkan mcam-maacam dokumen.,IPS,Transposition Error
Ini adalah fotoku.,Ini adalah ftokou.,IPS,Transposition Error
Foto ini dibuat satu tahun yang lalu.,Foto ini dibuat satu tahun yang ulal.,IPS,Transposition Error
Foto ini juga ditempel diraporku.,Foto ini juga ditepeml diraporku.,IPS,Transposition Error
Kalau ini foto keluargaku.,Kalau ini ofto keluargaku.,IPS,Transposition Error
"Selain ada aku, ada ayah dan ibuku.","Selain ada aku, ada ayah dan kibuu.",IPS,Transposition Error
Kakak dan adikku juga ada.,Kakak dan adikku ugja ada.,IPS,Transposition Error
Bisakah kamu tunjukkan yang mana diriku?,Bisakah kamu tunjukkan anyg mana diriku?,IPS,Transposition Error
Semua foto disimpan dengan baik oleh ayah dan ibu.,Semua foto disimpan dengan baik oleh haya dan ibu.,IPS,Transposition Error
Suatu saat nanti foto akan jadi kenangan.,Suatu saat nanti foto akan jadi kennagan.,IPS,Transposition Error
Walaupun kamu nanti sudah besar.,Walaupun kamu nanti suhda besar.,IPS,Transposition Error
Kamu masih bisa melihat dirimu ketika masih bayi.,Kamu imash bisa melihat dirimu ketika masih bayi.,IPS,Transposition Error
"Tanyakanlah kepada orang tuamu apakah mereka memiliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.","Tanyakanlah kepada orang tuamu apakah mereka memliiki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.",IPS,Transposition Error
Ceritakanlah peristiwa yang ada di foto itu!,Ceritankalah peristiwa yang ada di foto itu!,IPS,Transposition Error
Minta pula kepada orang tuamu fotomu pada saat sekarang.,Minta pula keapda orang tuamu fotomu pada saat sekarang.,IPS,Transposition Error
Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan.,Tempelkanlah foto tersebut pada pojok kreativitas gyan sudah disiapkan.,IPS,Transposition Error
Mintalah bantuan gurumu jika kamu mengalami kesulitan.,Mintalah bantuan gurumu jika kamu mengalami kesluitan.,IPS,Transposition Error
Jangan lupa beri nama.,Jangan lupa iber nama.,IPS,Transposition Error
Perhatikanlah fotomu dan foto kawan-kawan sekelasmu.,Perhatikanlah otfomu dan foto kawan-kawan sekelasmu.,IPS,Transposition Error
Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak-anak menempelkan foto.,Buatlah suatu pojok kreativitas di kelas sebgaai tempat untuk anak-anak menempelkan foto.,IPS,Transposition Error
Pojok kreativitas bisa dihias oleh guru atau melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,Pojok kreativitas bisa dihias oleh guru uata melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,IPS,Transposition Error
"Berilah judul atau tema pada pojok kreativitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".","Berilah judul atau tema pada pojok kretiviatas ini, misalnya ""pojok diriku"" atau ""inilah aku"".",IPS,Transposition Error
"Aku lahir tanggal 12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.","Aku lahir tanggal 21, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.",IPS,Transposition Error
"Namanya adalah akta kelahiran,"" kata raihan.","Namanya adalah akta kelhairan,"" kata raihan.",IPS,Transposition Error
"Ketika anak dilahirkan, dokter atau bidan membuat surat kelahiran.","Ketika anak dilahirkan, dokter atau bidan memubat surat kelahiran.",IPS,Transposition Error
"Lalu ayah melaporkannya kepada pak rt, pak rw, dan pak lurah.","Lalu ayah melaporkannya kepada pak rt, pak rw, adn pak lurah.",IPS,Transposition Error
Kemudian ayah diberi surat keterangan.,Kemudian ayah diberi sutra keterangan.,IPS,Transposition Error
Surat keterangan itu dibawanya ke kantor catatan sipil untuk dibuatkan akta kelahiran.,Surat keterangan itu dibawanya ke kantor ctataan sipil untuk dibuatkan akta kelahiran.,IPS,Transposition Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir.,Akta kelahiran disebut juga sebagai surat dtana kenal lahir.,IPS,Transposition Error
Semua orang memiliki akta kelahiran.,Semua orang memiliki ktaa kelahiran.,IPS,Transposition Error
Akta kelahiran sangat penting.,Akta kelahiran sanagt penting.,IPS,Transposition Error
Akta sangat banyak gunanya.,Akta sangat banayk gunanya.,IPS,Transposition Error
Akta berguna untuk melanjutkan sekolah.,Akta berguna untuk melajutnkan sekolah.,IPS,Transposition Error
Akta juga berguna untuk mencari pekerjaan.,Akta juga berguna unktu mencari pekerjaan.,IPS,Transposition Error
"Kalau kamu akan pergi ke luar negeri, kamu memerlukan akta kelahiran.","Kalau kamu akan pergi ke luar ngerei, kamu memerlukan akta kelahiran.",IPS,Transposition Error
Perhatikanlah akta kelahiran di bawah ini!,Perhtiakanlah akta kelahiran di bawah ini!,IPS,Transposition Error
"Contoh lain yang termasuk dokumen adalah ktp, kartu keluarga, ijazah, dan sim.","Contoh lain yang termasuk dokumen adalah ktp, kartu keluraga, ijazah, dan sim.",IPS,Transposition Error
Ktp singkatan dari kartu tanda penduduk.,Ktp singkatan dari kaurt tanda penduduk.,IPS,Transposition Error
Setiap warga negara yang telah berumur 17 tahun harus  memiliki ktp.,Setiap warga negara yang telah berumur 71 tahun harus  memiliki ktp.,IPS,Transposition Error
Sim singkatan dari surat ijin mengemudi.,Sim singkatan dari sutra ijin mengemudi.,IPS,Transposition Error
Sim harus dimiliki oleh semua pengendara motor dan mobil.,Sim harus dimiliki oleh semua pengendara omtor dan mobil.,IPS,Transposition Error
Kartu keluarga harus dimiliki oleh setiap keluarga.,Kartu kelaurga harus dimiliki oleh setiap keluarga.,IPS,Transposition Error
Untuk membuat akta kelahiran dibutuhkan kartu keluarga.,Untuk membuat akta kelahiran dibutuhkan kartu kelaurga.,IPS,Transposition Error
Apa manfaat foto?,Apa manfaat ofto?,IPS,Transposition Error
Bagaimana cara menyimpan foto yang baik?,Bagaimana cara menyimpan otfo yang baik?,IPS,Transposition Error
Siapakah yang membuat akta kelahiran?,Siapakah yang membuat ktaa kelahiran?,IPS,Transposition Error
Mengapa akta kelahiran sangat penting?,Mengapa akta kelahiran snagat penting?,IPS,Transposition Error
Benda apa saja yang termasuk dokumen?,Benda apa saja anyg termasuk dokumen?,IPS,Transposition Error
Mintalah foto kopi akta kelahiranmu pada orang tuamu.,Mintalah foto kopi akta kelahiranmu pada norag tuamu.,IPS,Transposition Error
Bawalah ke sekolah.,Bawalah ke sekloah.,IPS,Transposition Error
"Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawah ini.","Amatilah isinya, lalu isilah pertanyaan-pertanyaan di abwah ini.",IPS,Transposition Error
Hasilnya kumpulkan kepada gurumu.,Hasilnya kumpulkan kepdaa gurumu.,IPS,Transposition Error
Siapakah nama lengkapmu?,Siapakah nama lenkgapmu?,IPS,Transposition Error
Di manakah tempat kelahiranmu?,Di manakah temapt kelahiranmu?,IPS,Transposition Error
Kapankah tanggal kelahiranmu?,Kapankah tanggal kelhiraanmu?,IPS,Transposition Error
Siapakah nama ayahmu?,Siapakah nama ayamhu?,IPS,Transposition Error
Siapakah nama ibumu?,Siapakah nama mibuu?,IPS,Transposition Error
Tanggal berapakah akta kelahiran itu dibuat?,Tanggal berapakah akta kelhairan itu dibuat?,IPS,Transposition Error
Di manakah akta itu dibuat?,Id manakah akta itu dibuat?,IPS,Transposition Error
Sekarang kita akan membuat map dokumen.,Sekarang kita akan meumbat map dokumen.,IPS,Transposition Error
Tempelkanlah foto dirimu di bagian paling depan map.,Tempelkanlah foto dirimu di bagian paling adepn map.,IPS,Transposition Error
Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaanmu di bagian depan dan belakang map.,Tempelkanlah foto-foto lainnya atau gambar-gambar lucu keskaanumu di bagian depan dan belakang map.,IPS,Transposition Error
Jangan lupa sisakan bagian untuk menuliskan namamu sendiri.,Jangan lupa sisakan bagian untuk menuliskan nmamau sendiri.,IPS,Transposition Error
"Jika mau, buatlah judul untuk map tersebut sesukamu.","Jika mau, buatlah judul untuk map teresbut sesukamu.",IPS,Transposition Error
Simpanlah foto kopi akta kelahiranmu di map buatanmu sendiri.,Simpanlah foto kopi akta kelahiranmu di map buatanmu rsendii.,IPS,Transposition Error
Guru meminta dan mendorong anak untuk menceritakan peristiwa berkesan yang pernah dialami anak.,Guru meminta dan mendorong anak untuk meneritakacn peristiwa berkesan yang pernah dialami anak.,IPS,Transposition Error
Deni tidak bosan memperhatikan fotonya.,Deni tidak bosan memperhatinka fotonya.,IPS,Transposition Error
Foto itu terpasang di dinding dalam ruang keluarga.,Foto itu terpasang di dinding dalam nruag keluarga.,IPS,Transposition Error
Di foto itu ia sedang memegang piala didampingi ibunya.,Di foto itu ia sedang memegang lpiaa didampingi ibunya.,IPS,Transposition Error
Deni merasa sangat bangga.,Deni merasa sanagt bangga.,IPS,Transposition Error
Saat itu deni mengikuti lomba sempoa.,Saat itu deni mengtikui lomba sempoa.,IPS,Transposition Error
Deni ditunjuk mewakili sekolahnya.,Deni ditunjuk mewkaili sekolahnya.,IPS,Transposition Error
Deni sangat gugup dan takut kalah.,Dien sangat gugup dan takut kalah.,IPS,Transposition Error
Jantungnya berdetak sangat keras.,Jantungnya berdetak sanagt keras.,IPS,Transposition Error
Tanpa disangka deni menang.,Tanpa disangka iden menang.,IPS,Transposition Error
Deni senang sekali.,Deni senang seklai.,IPS,Transposition Error
Teman-teman dan guru berebutan untuk mengucapkan selamat.,Teman-teman dan guru berebutan untuk mengucapkan selmaat.,IPS,Transposition Error
Peristiwa itu tidak akan pernah ia lupakan.,Peristiwa itu tidak akan pernah ia lupkaan.,IPS,Transposition Error
Kamu pun pasti memiliki peristiwa atau pengalaman yang berkesan.,Kamu pun pasti memiliki peristiwa atau penalamgan yang berkesan.,IPS,Transposition Error
Ceritakanlah di depan teman-temanmu peristiwa atau pengalaman berkesan yang pernah kamu alami itu.,Ceritakanlah di depan teman-temanmu peristiwa atau penalamgan berkesan yang pernah kamu alami itu.,IPS,Transposition Error
"Lewat foto itu pasya mengenang lagi masa lalunya, ketika ia sedang dikhitan.","Lewat foto itu pasya mengenang lagi amsa lalunya, ketika ia sedang dikhitan.",IPS,Transposition Error
Ternyata dikhitan tidak sakit.,Ternyata dikhitan atidk sakit.,IPS,Transposition Error
Peristiwa khitanan bagi anak laki-laki merupakan peristiwa besar.,Peristiwa khitanan bagi anak laki-laki merupakan persitiwa besar.,IPS,Transposition Error
Lomba apakah yang diikuti deni?,Lomba apakah yang diuikti deni?,IPS,Transposition Error
Apa yang terjadi setelah deni ditunjuk mewakili sekolahnya?,Apa yang terjadi setelah deni ditunjuk mewkaili sekolahnya?,IPS,Transposition Error
Bagaimanakah perasaan deni ketika melihat fotonya?,Bagaimanakah perasaan deni etkika melihat fotonya?,IPS,Transposition Error
Foto apakah yang diperlihatkan pasya kepada arman?,Foto apakah ayng diperlihatkan pasya kepada arman?,IPS,Transposition Error
Apakah pasya menangis ketika dikhitan?,Apakah pasya menangis etkika dikhitan?,IPS,Transposition Error
Foto termasuk dokumen diri.,Foto termasuk dokmuen diri.,IPS,Transposition Error
Foto berguna untuk mengenang peristiwa dimasa lalu.,Foto berguna untuk mengenang peristiwa dimasa ulal.,IPS,Transposition Error
"Akta kelahiran, kartu keluarga, ktp, ijazah, dan sim adalah dokumen penting.","Akta kelahiran, kartu keluarga, ktp, ijazah, dan sim hadala dokumen penting.",IPS,Transposition Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir seseorang.,Akta kelahiran disebut juga sebagai surat dtana kenal lahir seseorang.,IPS,Transposition Error
Dokumen penting harus dijaga dan dirawat dengan baik.,Dokumen penting harus dijaga dan dirawat denagn baik.,IPS,Transposition Error
Apa sajakah yang termasuk dokumen penting keluarga?,Apa sajakah yang termasuk dokumen penting kelaurga?,IPS,Transposition Error
Apakah alat yang digunakan untuk mengambil foto?,Apakah alat yang digunakan untuk mengambil ofto?,IPS,Transposition Error
Sebutkan guna akta kelahiran?,Sebutnka guna akta kelahiran?,IPS,Transposition Error
Mengapa dokumen penting keluarga harus dijaga dan dirawat?,Pmengaa dokumen penting keluarga harus dijaga dan dirawat?,IPS,Transposition Error
Dokumen apakah yang harus dimiliki pengendara motor dan mobil?,Dokumen apakah yang harus dimiliki pengendara omtor dan mobil?,IPS,Transposition Error
Tiap keluarga punya peristiwa penting.,Tiap keluarga punya periwstia penting.,IPS,Transposition Error
Ada yang menyenangkan.,Ada yang menenangkayn.,IPS,Transposition Error
Ada yang menyedihkan.,Ada yang menedihykan.,IPS,Transposition Error
Semuanya sangat berguna.,Semuanya sangat berugna.,IPS,Transposition Error
Kita bisa ambil hikmahnya.,Kita bisa iambl hikmahnya.,IPS,Transposition Error
Guru membimbing anak untuk mengetahui arti peristiwa.,Guru membimbing anak untuk mengetahui arti persitiwa.,IPS,Transposition Error
Guru juga membimbing dan mendorong anak untuk menceritakan peristiwa menyenangkan dalam keluarga.,Guru juga membimbing dan mendorong anak untuk menceritakan peristaiw menyenangkan dalam keluarga.,IPS,Transposition Error
Setiap orang mengalami peristiwa menyenangkan dalam hidupnya.,Setiap orang mengalami peristiwa menyenangkan dalam hidpunya.,IPS,Transposition Error
Peristiwa yang pernah kita alami disebut pengalaman.,Peristiwa yang pernah kita alami disebut penalamgan.,IPS,Transposition Error
Bagaimana denganmu?,Bgaiamana denganmu?,IPS,Transposition Error
Apakah kamu juga memiliki peristiwa menyenangkan bersama keluarga?,Apakah kamu juga memiliki peristiwa menyenangkan berasma keluarga?,IPS,Transposition Error
"Ketika berumur enam tahun, ayah dan ibu memasukkan aldo ke sekolah dasar atau sd.","Ketika berumur enam tahun, ayah dan ibu memasukkan aold ke sekolah dasar atau sd.",IPS,Transposition Error
Aldo senang sekali karena di sd lebih banyak teman.,Aldo senang sekali karena di sd ilebh banyak teman.,IPS,Transposition Error
Ada laki-laki dan ada perempuan.,Daa laki-laki dan ada perempuan.,IPS,Transposition Error
Waktu pertama kali ke sekolah aldo diantar ibu.,Waktu pertama kali ke sekolah aldo diatnar ibu.,IPS,Transposition Error
Lama-kelamaan aldo jadi berani pergi sendiri ke sekolah.,Lama-eklamaan aldo jadi berani pergi sendiri ke sekolah.,IPS,Transposition Error
Karena sekolahnya dekat dengan rumah.,Karena sekolahnya dekat deangn rumah.,IPS,Transposition Error
"Pulangnya, aldo berjalan kaki sendirian.","Pulangnya, aldo berjalan akki sendirian.",IPS,Transposition Error
"Di sekolah, aldo belajar bersama teman-teman.","Di sekolah, aldo bejlaar bersama teman-teman.",IPS,Transposition Error
Aldo sangat senang belajar di kelas.,Aldo sangat senang bejlaar di kelas.,IPS,Transposition Error
Semua guru baik dan ramah.,Emsua guru baik dan ramah.,IPS,Transposition Error
Ibu guru dan bapak guru selalu sabar membimbing aldo dan teman-teman.,Ibu guru dan bapak guru selalu asbar membimbing aldo dan teman-teman.,IPS,Transposition Error
Aldo dan teman-teman jadi rajin belajar.,Aldo dan teman-teman adji rajin belajar.,IPS,Transposition Error
Astri merayakan ulang tahunnya yang kedelapan.,Astri merayakan ulang tahunyna yang kedelapan.,IPS,Transposition Error
La mengundang teman-temannya ke rumah.,Al mengundang teman-temannya ke rumah.,IPS,Transposition Error
Semua teman menyanyikan lagu selamat ulang tahun sambil bertepuk tangan.,Semua teman menyanyikan lagu selamat ulang utahn sambil bertepuk tangan.,IPS,Transposition Error
