kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Mahdi sangat sayang kepada muti.,Mahdi sangat sayang keopada muti.,IPS,Insertion Error
"Bersihkan dokumen dan benda koleksi dari kotoran, terutama debu.","Bersihkan dokumen dan benda koleksi dari kototran, terutama debu.",IPS,Insertion Error
Simpan dokumen dan benda koleksi di tempat yang kering.,Simpan dokumen dan benda koleksi di temptat yang kering.,IPS,Insertion Error
Jangan lupa bersihkan dulu tempat itu.,Jangan lupa bersihkan duolu tempat itu.,IPS,Insertion Error
Diberi kapur barus supaya tidak ada binatang pengganggu.,Diberi kapur barus supaya tidak ada binatantg pengganggu.,IPS,Insertion Error
Disimpan dengan rapi dan menarik.,Disimpan dengan rapi daon menarik.,IPS,Insertion Error
Dokumen yang ada di map plastik sekali-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,Dokumen yang ada di map plastik sekali-sekalti harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,IPS,Insertion Error
Jawablah pertanyaan-pertanyaan di bawah ini!,Jawablah pertanyaan-pertanyaan di baowah ini!,IPS,Insertion Error
Apa yang dilakukan mahdi dan muti?,Apa yang dilakukan maohdi dan muti?,IPS,Insertion Error
Apa akibatnya jika perangko tidak disusun?,Apa akibatnya jika perangkoo tidak disusun?,IPS,Insertion Error
Bagaimana cara merawat dokumen dan benda koleksi?,Bagaimana cara merawat dokumen dan benda koletksi?,IPS,Insertion Error
Sulit atau mudahkah merawat dokumen dan benda koleksi itu?,Sulit atau mudahkah merawat dokumen dan bendta koleksi itu?,IPS,Insertion Error
Mengapa dokumen yang ada dalam map plastik harus dikeluarkan sekali-sekali?,Mengapa dokumen yang ada dalam map plasttik harus dikeluarkan sekali-sekali?,IPS,Insertion Error
Ceritakanlah di depan kelas benda apakah yang kamu dan keluargamu koleksi!,Ceritakanlah di depan kelas benda apakah yangt kamu dan keluargamu koleksi!,IPS,Insertion Error
Ceritakan pula bagaimana cara kamu merawatnya!,Ceritakan pula bagaimana caora kamu merawatnya!,IPS,Insertion Error
Tempelkan foto pada setiap halaman buku gambar.,Tempelkan foto pada setiap halaman buku gambtar.,IPS,Insertion Error
Jangan lupa beri komentarmu atau cerita singkat tentang foto tersebut.,Jangan lupa beri komentarmu atau cerita singtkat tentang foto tersebut.,IPS,Insertion Error
Hias sesukamu dengan menarik.,Hias sesukamu dengtan menarik.,IPS,Insertion Error
Dokumen dan koleksi benda harus selalu dirawat dan dipelihara dengan baik.,Dokumen dan koleksi benda harus selalu diratwat dan dipelihara dengan baik.,IPS,Insertion Error
"Merupakan contoh dokumen penting adalah foto,  akta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.","Merupakan contoh dokumen penting adalah foto,  aktat kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.",IPS,Insertion Error
Ktp dan sim biasanya dilaminating supaya awet.,Ktp dan sim biasanya dilaminating supaya awett.,IPS,Insertion Error
Memelihara benda koleksi harus diperhatikan tempat dan kebersihannya.,Memelihara benda koleksi harus diperhatikan tempat tdan kebersihannya.,IPS,Insertion Error
Merawat dokumen dan benda koleksi dibutuhkan kemauan yang kuat.,Merawat dokumen dan benda koleksi dibutuhkan kematuan yang kuat.,IPS,Insertion Error
Pilihlah jawaban yang benar!,Pilihlah jawaban yangt benar!,IPS,Insertion Error
Isilah titik-titik di bawah ini dengan jawaban yang benar!,Isilah titik-titik di bawah ini dengan jawatban yang benar!,IPS,Insertion Error
Jawablah pertanyaan berikut ini dengan singkat dan jelas!,Jawablah pertanyaan berikut ini dengan singkat tdan jelas!,IPS,Insertion Error
Siapakah yang harus memelihara dokumen dan benda koleksi keluarga?,Siapakah yang harus memelihara dokumen dan bendta koleksi keluarga?,IPS,Insertion Error
Apa yang kamu lakukan untuk merawat dan memelihara benda koleksi?,Apa yang kamu lakukan untuk merawat tdan memelihara benda koleksi?,IPS,Insertion Error
Mengapa dokumen dan benda koleksi harus dipelihara?,Mengapa dokumen dan benda koleksi harus dipeliharat?,IPS,Insertion Error
Bagaimana cara memelihara koleksi piala?,Bagaimana cara memelihara kooleksi piala?,IPS,Insertion Error
Sebutkan apa saja yang termasuk benda koleksi itu?,Sebutkan apa saja yang termasuk benda koletksi itu?,IPS,Insertion Error
Kamu pasti menyukai cerita.,Kamu pasti menyukati cerita.,IPS,Insertion Error
Kamu juga suka bercerita.,Kamu juga sukat bercerita.,IPS,Insertion Error
Dokumen keluarga sebagai sumber cerita.,Dokumen keluarga sebagai suomber cerita.,IPS,Insertion Error
Bisakah kamu bercerita berdasar dokumen keluarga?,Bisakah kamu bercerita berdasaor dokumen keluarga?,IPS,Insertion Error
Suatu hari roni melihat album foto di lemari.,Suatu hari roni melihat album foto tdi lemari.,IPS,Insertion Error
Ternyata album itu berisi foto-foto dirinya.,Ternyata album itu beorisi foto-foto dirinya.,IPS,Insertion Error
Ada fotonya ketika masih bayi sedang digendong ibu.,Ada fotonya ketika masih bayi sedang digendotng ibu.,IPS,Insertion Error
Waktu itu roni baru dilahirkan.,Waktu itu roni baoru dilahirkan.,IPS,Insertion Error
"Ada pula foto-foto lainnya bersama keluarga, ketika roni masih kecil.","Ada pula foto-foto lainnya bersama keluarga, ketitka roni masih kecil.",IPS,Insertion Error
"Kalau melihat foto, kita bisa mengenang masa lalu.","Kalau melihat foto, kita bisa mengenang masat lalu.",IPS,Insertion Error
Kamu bisa melihat dirimu ketika baru berumur satu tahun.,Kamu bisa melihat dirimu ketika baru berutmur satu tahun.,IPS,Insertion Error
Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa.,Foto bisa mengingatkan kembali kenangan yang sudath kamu lupa.,IPS,Insertion Error
Apakah kamu pernah difoto?,Apakah kamu perntah difoto?,IPS,Insertion Error
Di mana kamu difoto?,Di mana kamut difoto?,IPS,Insertion Error
Dengan siapa kamu difoto?,Dengan siapa kamut difoto?,IPS,Insertion Error
Foto harus disimpan dengan baik.,Foto harus disimpan deongan baik.,IPS,Insertion Error
Guru membimbing anak agar mereka mengetahui arti dokumen dan macam-macam dokumen.,Guru membimbing anak agar mereka mengetahui artit dokumen dan macam-macam dokumen.,IPS,Insertion Error
Guru memperlihatkan macam-macam dokumen.,Guru memperlihatkan macam-macatm dokumen.,IPS,Insertion Error
Ini adalah fotoku.,Ini adalah fototku.,IPS,Insertion Error
Foto ini dibuat satu tahun yang lalu.,Foto ini dibuat satu tahun yang lalut.,IPS,Insertion Error
Foto ini juga ditempel diraporku.,Foto ini juga ditempeol diraporku.,IPS,Insertion Error
Kalau ini foto keluargaku.,Kalau ini fotot keluargaku.,IPS,Insertion Error
"Selain ada aku, ada ayah dan ibuku.","Selain ada aku, ada ayah dan ibuktu.",IPS,Insertion Error
Kakak dan adikku juga ada.,Kakak dan adikku juoga ada.,IPS,Insertion Error
Bisakah kamu tunjukkan yang mana diriku?,Bisakah kamu tunjukkan yaong mana diriku?,IPS,Insertion Error
Semua foto disimpan dengan baik oleh ayah dan ibu.,Semua foto disimpan dengan baik oleh ayaht dan ibu.,IPS,Insertion Error
Suatu saat nanti foto akan jadi kenangan.,Suatu saat nanti foto akan jadi kenangatn.,IPS,Insertion Error
Walaupun kamu nanti sudah besar.,Walaupun kamu nanti suodah besar.,IPS,Insertion Error
Kamu masih bisa melihat dirimu ketika masih bayi.,Kamu masith bisa melihat dirimu ketika masih bayi.,IPS,Insertion Error
"Tanyakanlah kepada orang tuamu apakah mereka memiliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.","Tanyakanlah kepada orang tuamu apakah mereka memilikti foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.",IPS,Insertion Error
Ceritakanlah peristiwa yang ada di foto itu!,Ceritakanlah peristiwa yang ada di foto titu!,IPS,Insertion Error
Minta pula kepada orang tuamu fotomu pada saat sekarang.,Minta pula kepadat orang tuamu fotomu pada saat sekarang.,IPS,Insertion Error
Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan.,Tempelkanlah foto tersebut pada pojok kreativitas yangt sudah disiapkan.,IPS,Insertion Error
Mintalah bantuan gurumu jika kamu mengalami kesulitan.,Mintalah bantuan gurumu jika kamu mengalami kesulittan.,IPS,Insertion Error
Jangan lupa beri nama.,Jangan lupa berit nama.,IPS,Insertion Error
Perhatikanlah fotomu dan foto kawan-kawan sekelasmu.,Perhatikanlah footomu dan foto kawan-kawan sekelasmu.,IPS,Insertion Error
Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak-anak menempelkan foto.,Buatlah suatu pojok kreativitas di kelas sebatgai tempat untuk anak-anak menempelkan foto.,IPS,Insertion Error
Pojok kreativitas bisa dihias oleh guru atau melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,Pojok kreativitas bisa dihias oleh guru ataut melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,IPS,Insertion Error
"Berilah judul atau tema pada pojok kreativitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".","Berilah judul atau tema pada pojok kreativitats ini, misalnya ""pojok diriku"" atau ""inilah aku"".",IPS,Insertion Error
"Aku lahir tanggal 12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.","Aku lahir tanggal t12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.",IPS,Insertion Error
"Namanya adalah akta kelahiran,"" kata raihan.","Namanya adalah akta kelahiroan,"" kata raihan.",IPS,Insertion Error
"Ketika anak dilahirkan, dokter atau bidan membuat surat kelahiran.","Ketika anak dilahirkan, dokter atau bidan membtuat surat kelahiran.",IPS,Insertion Error
"Lalu ayah melaporkannya kepada pak rt, pak rw, dan pak lurah.","Lalu ayah melaporkannya kepada tpak rt, pak rw, dan pak lurah.",IPS,Insertion Error
Kemudian ayah diberi surat keterangan.,Kemudian ayah diberi suorat keterangan.,IPS,Insertion Error
Surat keterangan itu dibawanya ke kantor catatan sipil untuk dibuatkan akta kelahiran.,Surat keterangan itu dibawanya ke kantor catattan sipil untuk dibuatkan akta kelahiran.,IPS,Insertion Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir.,Akta kelahiran disebut juga sebagai surat tandta kenal lahir.,IPS,Insertion Error
Semua orang memiliki akta kelahiran.,Semua orang memiliki akota kelahiran.,IPS,Insertion Error
Akta kelahiran sangat penting.,Akta kelahiran sangtat penting.,IPS,Insertion Error
Akta sangat banyak gunanya.,Akta sangat banytak gunanya.,IPS,Insertion Error
Akta berguna untuk melanjutkan sekolah.,Akta berguna untuk melanjutkaon sekolah.,IPS,Insertion Error
Akta juga berguna untuk mencari pekerjaan.,Akta juga berguna unotuk mencari pekerjaan.,IPS,Insertion Error
"Kalau kamu akan pergi ke luar negeri, kamu memerlukan akta kelahiran.","Kalau kamu akan pergi ke luar negetri, kamu memerlukan akta kelahiran.",IPS,Insertion Error
Perhatikanlah akta kelahiran di bawah ini!,Perhatikanlah akta kelahiran dio bawah ini!,IPS,Insertion Error
"Contoh lain yang termasuk dokumen adalah ktp, kartu keluarga, ijazah, dan sim.","Contoh lain yang termasuk dokumen adalah tktp, kartu keluarga, ijazah, dan sim.",IPS,Insertion Error
Ktp singkatan dari kartu tanda penduduk.,Ktp singkatan dari kaortu tanda penduduk.,IPS,Insertion Error
Setiap warga negara yang telah berumur 17 tahun harus  memiliki ktp.,Setiap warga negara yang telah berumur t17 tahun harus  memiliki ktp.,IPS,Insertion Error
Sim singkatan dari surat ijin mengemudi.,Sim singkatan dari suorat ijin mengemudi.,IPS,Insertion Error
Sim harus dimiliki oleh semua pengendara motor dan mobil.,Sim harus dimiliki oleh semua pengendara mototr dan mobil.,IPS,Insertion Error
Kartu keluarga harus dimiliki oleh setiap keluarga.,Kartu keluargta harus dimiliki oleh setiap keluarga.,IPS,Insertion Error
Untuk membuat akta kelahiran dibutuhkan kartu keluarga.,Untuk membuat akta kelahiran dibutuhkan kartu keluargta.,IPS,Insertion Error
Apa manfaat foto?,Apa manfaat fotot?,IPS,Insertion Error
Bagaimana cara menyimpan foto yang baik?,Bagaimana cara menyimpan footo yang baik?,IPS,Insertion Error
Siapakah yang membuat akta kelahiran?,Siapakah yang membuat akota kelahiran?,IPS,Insertion Error
Mengapa akta kelahiran sangat penting?,Mengapa akta kelahiran saongat penting?,IPS,Insertion Error
Benda apa saja yang termasuk dokumen?,Benda apa saja yaong termasuk dokumen?,IPS,Insertion Error
Mintalah foto kopi akta kelahiranmu pada orang tuamu.,Mintalah foto kopi akta kelahiranmu pada orantg tuamu.,IPS,Insertion Error
Bawalah ke sekolah.,Bawalah ke sekotlah.,IPS,Insertion Error
"Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawah ini.","Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawath ini.",IPS,Insertion Error
Hasilnya kumpulkan kepada gurumu.,Hasilnya kumpulkan kepatda gurumu.,IPS,Insertion Error
Siapakah nama lengkapmu?,Siapakah nama lengkaptmu?,IPS,Insertion Error
Di manakah tempat kelahiranmu?,Di manakah temptat kelahiranmu?,IPS,Insertion Error
Kapankah tanggal kelahiranmu?,Kapankah tanggal kelahiranmtu?,IPS,Insertion Error
Siapakah nama ayahmu?,Siapakah nama ayahtmu?,IPS,Insertion Error
Siapakah nama ibumu?,Siapakah nama ibumtu?,IPS,Insertion Error
Tanggal berapakah akta kelahiran itu dibuat?,Tanggal berapakah akta kelahiroan itu dibuat?,IPS,Insertion Error
Di manakah akta itu dibuat?,Di manakah akta itou dibuat?,IPS,Insertion Error
Sekarang kita akan membuat map dokumen.,Sekarang kita akan meombuat map dokumen.,IPS,Insertion Error
Tempelkanlah foto dirimu di bagian paling depan map.,Tempelkanlah foto dirimu di bagian paling depatn map.,IPS,Insertion Error
Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaanmu di bagian depan dan belakang map.,Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaanmut di bagian depan dan belakang map.,IPS,Insertion Error
Jangan lupa sisakan bagian untuk menuliskan namamu sendiri.,Jangan lupa sisakan bagian untuk menuliskan namatmu sendiri.,IPS,Insertion Error
"Jika mau, buatlah judul untuk map tersebut sesukamu.","Jika mau, buatlah judul untuk map tersebutt sesukamu.",IPS,Insertion Error
Simpanlah foto kopi akta kelahiranmu di map buatanmu sendiri.,Simpanlah foto kopi akta kelahiranmu di tmap buatanmu sendiri.,IPS,Insertion Error
Guru meminta dan mendorong anak untuk menceritakan peristiwa berkesan yang pernah dialami anak.,Guru meminta dan mendorong anak untuk menceritakant peristiwa berkesan yang pernah dialami anak.,IPS,Insertion Error
Deni tidak bosan memperhatikan fotonya.,Deni tidak bosan memperhatiokan fotonya.,IPS,Insertion Error
Foto itu terpasang di dinding dalam ruang keluarga.,Foto itu terpasang di dinding dalam ruantg keluarga.,IPS,Insertion Error
Di foto itu ia sedang memegang piala didampingi ibunya.,Di foto itu ia sedang memegang pialta didampingi ibunya.,IPS,Insertion Error
Deni merasa sangat bangga.,Deni merasa sangtat bangga.,IPS,Insertion Error
Saat itu deni mengikuti lomba sempoa.,Saat itu deni mengikuoti lomba sempoa.,IPS,Insertion Error
Deni ditunjuk mewakili sekolahnya.,Deni ditunjuk mewakilti sekolahnya.,IPS,Insertion Error
Deni sangat gugup dan takut kalah.,Deni sangat gugup daon takut kalah.,IPS,Insertion Error
Jantungnya berdetak sangat keras.,Jantungnya berdetak sangtat keras.,IPS,Insertion Error
Tanpa disangka deni menang.,Tanpa disangka denit menang.,IPS,Insertion Error
Deni senang sekali.,Deni senang sekatli.,IPS,Insertion Error
Teman-teman dan guru berebutan untuk mengucapkan selamat.,Teman-teman dan guru berebutan untuk mengucapkan selatmat.,IPS,Insertion Error
Peristiwa itu tidak akan pernah ia lupakan.,Peristiwa itu tidak akan pernah ia lupatkan.,IPS,Insertion Error
Kamu pun pasti memiliki peristiwa atau pengalaman yang berkesan.,Kamu pun pasti memiliki peristiwa atau pengalamant yang berkesan.,IPS,Insertion Error
Ceritakanlah di depan teman-temanmu peristiwa atau pengalaman berkesan yang pernah kamu alami itu.,Ceritakanlah di depan teman-temanmu peristiwa atau pengalamant berkesan yang pernah kamu alami itu.,IPS,Insertion Error
"Lewat foto itu pasya mengenang lagi masa lalunya, ketika ia sedang dikhitan.","Lewat foto itu pasya mengenang lagi masat lalunya, ketika ia sedang dikhitan.",IPS,Insertion Error
Ternyata dikhitan tidak sakit.,Ternyata dikhitan tidatk sakit.,IPS,Insertion Error
Peristiwa khitanan bagi anak laki-laki merupakan peristiwa besar.,Peristiwa khitanan bagi anak laki-laki merupakan peristitwa besar.,IPS,Insertion Error
Lomba apakah yang diikuti deni?,Lomba apakah yang dioikuti deni?,IPS,Insertion Error
Apa yang terjadi setelah deni ditunjuk mewakili sekolahnya?,Apa yang terjadi setelah deni ditunjuk mewakilti sekolahnya?,IPS,Insertion Error
Bagaimanakah perasaan deni ketika melihat fotonya?,Bagaimanakah perasaan deni keotika melihat fotonya?,IPS,Insertion Error
Foto apakah yang diperlihatkan pasya kepada arman?,Foto apakah yang diperlihatkan pasya kepada armatn?,IPS,Insertion Error
Apakah pasya menangis ketika dikhitan?,Apakah pasya menangis keotika dikhitan?,IPS,Insertion Error
Foto termasuk dokumen diri.,Foto termasuk dokutmen diri.,IPS,Insertion Error
Foto berguna untuk mengenang peristiwa dimasa lalu.,Foto berguna untuk mengenang peristiwa dimasa lalut.,IPS,Insertion Error
"Akta kelahiran, kartu keluarga, ktp, ijazah, dan sim adalah dokumen penting.","Akta kelahiran, kartu keluarga, ktp, ijazah, tdan sim adalah dokumen penting.",IPS,Insertion Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir seseorang.,Akta kelahiran disebut juga sebagai surat tandta kenal lahir seseorang.,IPS,Insertion Error
Dokumen penting harus dijaga dan dirawat dengan baik.,Dokumen penting harus dijaga dan dirawat dengtan baik.,IPS,Insertion Error
Apa sajakah yang termasuk dokumen penting keluarga?,Apa sajakah yang termasuk dokumen penting keluargta?,IPS,Insertion Error
Apakah alat yang digunakan untuk mengambil foto?,Apakah alat yang digunakan untuk mengambil fotot?,IPS,Insertion Error
Sebutkan guna akta kelahiran?,Sebutkan guna aktat kelahiran?,IPS,Insertion Error
Mengapa dokumen penting keluarga harus dijaga dan dirawat?,Mengapa dokumen penting keluarga harus dijaga tdan dirawat?,IPS,Insertion Error
Dokumen apakah yang harus dimiliki pengendara motor dan mobil?,Dokumen apakah yang harus dimiliki pengendara mototr dan mobil?,IPS,Insertion Error
Tiap keluarga punya peristiwa penting.,Tiap keluarga punya peristiowa penting.,IPS,Insertion Error
Ada yang menyenangkan.,Ada yang menyenangkant.,IPS,Insertion Error
Ada yang menyedihkan.,Ada yang menyedihkatn.,IPS,Insertion Error
Semuanya sangat berguna.,Semuanya sangat bergtuna.,IPS,Insertion Error
Kita bisa ambil hikmahnya.,Kita bisa ambitl hikmahnya.,IPS,Insertion Error
Guru membimbing anak untuk mengetahui arti peristiwa.,Guru membimbing anak untuk mengetahui arti peristitwa.,IPS,Insertion Error
Guru juga membimbing dan mendorong anak untuk menceritakan peristiwa menyenangkan dalam keluarga.,Guru juga membimbing dan mendorong anak untutk menceritakan peristiwa menyenangkan dalam keluarga.,IPS,Insertion Error
Setiap orang mengalami peristiwa menyenangkan dalam hidupnya.,Setiap orang mengalami peristiwa menyenangkan dalam hidupnyta.,IPS,Insertion Error
Peristiwa yang pernah kita alami disebut pengalaman.,Peristiwa yang pernah kita alami disebut pengalamant.,IPS,Insertion Error
Bagaimana denganmu?,Bagaimatna denganmu?,IPS,Insertion Error
Apakah kamu juga memiliki peristiwa menyenangkan bersama keluarga?,Apakah kamu juga memiliki peristiwa menyenangkan berstama keluarga?,IPS,Insertion Error
"Ketika berumur enam tahun, ayah dan ibu memasukkan aldo ke sekolah dasar atau sd.","Ketika berumur enam tahun, ayah dan tibu memasukkan aldo ke sekolah dasar atau sd.",IPS,Insertion Error
Aldo senang sekali karena di sd lebih banyak teman.,Aldo senang sekali karena di sd lebith banyak teman.,IPS,Insertion Error
Ada laki-laki dan ada perempuan.,Ada laki-laki dan adoa perempuan.,IPS,Insertion Error
Waktu pertama kali ke sekolah aldo diantar ibu.,Waktu pertama kali ke sekolah aldo dianttar ibu.,IPS,Insertion Error
Lama-kelamaan aldo jadi berani pergi sendiri ke sekolah.,Lama-tkelamaan aldo jadi berani pergi sendiri ke sekolah.,IPS,Insertion Error
Karena sekolahnya dekat dengan rumah.,Karena sekolahnya dekat deongan rumah.,IPS,Insertion Error
"Pulangnya, aldo berjalan kaki sendirian.","Pulangnya, aldo berjalan kaoki sendirian.",IPS,Insertion Error
"Di sekolah, aldo belajar bersama teman-teman.","Di sekolah, aldo beolajar bersama teman-teman.",IPS,Insertion Error
Aldo sangat senang belajar di kelas.,Aldo sangat senang beolajar di kelas.,IPS,Insertion Error
Semua guru baik dan ramah.,Semua guru baik daon ramah.,IPS,Insertion Error
Ibu guru dan bapak guru selalu sabar membimbing aldo dan teman-teman.,Ibu guru dan bapak guru selalu sabatr membimbing aldo dan teman-teman.,IPS,Insertion Error
Aldo dan teman-teman jadi rajin belajar.,Aldo dan teman-teman jaodi rajin belajar.,IPS,Insertion Error
Astri merayakan ulang tahunnya yang kedelapan.,Astri merayakan ulang tahunnyoa yang kedelapan.,IPS,Insertion Error
La mengundang teman-temannya ke rumah.,La mengundang teman-temannya keo rumah.,IPS,Insertion Error
Semua teman menyanyikan lagu selamat ulang tahun sambil bertepuk tangan.,Semua teman menyanyikan lagu selamat ulang tahutn sambil bertepuk tangan.,IPS,Insertion Error
