kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Akta kelahiran harus dijaga dan dipelihara.,Akta kelahiran harus dijaa dan dipelihara.,IPS,Deletion Error
Supaya tidak rusak atau hilang.,Supaya tidak rusak tau hilang.,IPS,Deletion Error
Akta kelahiran bisa dilaminating.,Akta kelahiran bis dilaminating.,IPS,Deletion Error
Bisa juga dimasukkan dalam map yang bersih.,Bisa juga dimasukkan dalam map yang berih.,IPS,Deletion Error
Lihatlah gambar ini!,Lihatlah gambar ni!,IPS,Deletion Error
Gambar di atas merupakan sebagian contoh dokumen.,Gambar di atas merupakan sebagian contoh dokmen.,IPS,Deletion Error
"Kartu keluarga, ktp, dan sim biasanya dilaminating supaya tidak rusak.","Kartu keluarga, ktp, dan sim biasanya dilminating supaya tidak rusak.",IPS,Deletion Error
Laminating adalah pengepresan dokumen.,Laminating adalah penepresan dokumen.,IPS,Deletion Error
Dokumen dilapisi plastik khusus dan kemudian dipanaskan dengan mesin sampai merekat.,Dokumen dilapisi plastik khusus dan kemudian dipnaskan dengan mesin sampai merekat.,IPS,Deletion Error
Ktp dan sim adalah identitas diri yang harus selalu dibawa.,Ktp dan sim adalah identitas diri yan harus selalu dibawa.,IPS,Deletion Error
Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran.,Koleksi benda berharga dirawat dengan cara dibrsihkan dari debu dan kotoran.,IPS,Deletion Error
Tempat untuk menyimpannya pun jangan sembarangan.,Tempat untuk menyimpannya un jangan sembarangan.,IPS,Deletion Error
Supaya tidak kusam dan tidak mudah rusak.,Supaya tidak kusam dan tidak mudah rusk.,IPS,Deletion Error
"Contoh benda koleksi adalah piala, medali, uang kuno, buku, perangko lama, lukisan, dan masih banyak lagi.","Contoh benda koleksi adalah piala, medali, uan kuno, buku, perangko lama, lukisan, dan masih banyak lagi.",IPS,Deletion Error
Jika terawat dengan baik harganya jadi mahal.,Jika terawat dengan baik harganya jadi mhal.,IPS,Deletion Error
"Jika tidak terawat, kelihatan jelek dan tidak laku.","Jika tidk terawat, kelihatan jelek dan tidak laku.",IPS,Deletion Error
Sebutkan macam-macam dokumen!,Sebutkan macam-macam dokmen!,IPS,Deletion Error
Apa yang terjadi jika dokumen tidak dirawat?,Apa yang terjadi jika dokumen tidak dirwat?,IPS,Deletion Error
Bagaimana supaya ktp dan sim menjadi awet?,Bagaimana supaya ktp dan sim menjadi awe?,IPS,Deletion Error
Apa sajakah benda yang layak dikoleksi?,Apa sajakah benda ang layak dikoleksi?,IPS,Deletion Error
Bagaimana cara merawat benda koleksi?,Bagaimana cara merawat bend koleksi?,IPS,Deletion Error
Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,Jodohkanlah dengan cara menarik garis lurus ntara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,IPS,Deletion Error
Cermatilah gambar di bawah ini!,Cermatilah gambar di bawa ini!,IPS,Deletion Error
"Berilah tanda v pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu.","Berilah tanda v pada kolom ya, bukn, atau tidak tahu sesuai dengan pendapatmu.",IPS,Deletion Error
Hasilnya kumpulkan kepada gurumu!,Hasilnya kumpulkan kepda gurumu!,IPS,Deletion Error
Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya.,Guru mengajarkan anak cara menyimpan dan merwat dokumen serta koleksi benda berharga pribadi serta keluarganya.,IPS,Deletion Error
Suatu hari mahdi mengajak muti menyusun perangko dalam album.,Suatu hari mahdi mengajak muti menyusun perngko dalam album.,IPS,Deletion Error
Muti adalah adik mahdi.,Muti adalah adi mahdi.,IPS,Deletion Error
Mahdi sangat sayang kepada muti.,Mahdi sangat sayang kepaa muti.,IPS,Deletion Error
"Bersihkan dokumen dan benda koleksi dari kotoran, terutama debu.","Bersihkan dokumen dan benda koleksi dari ktoran, terutama debu.",IPS,Deletion Error
Simpan dokumen dan benda koleksi di tempat yang kering.,Simpan dokumen dan benda koleksi di temat yang kering.,IPS,Deletion Error
Jangan lupa bersihkan dulu tempat itu.,Jangan lupa bersihkan ulu tempat itu.,IPS,Deletion Error
Diberi kapur barus supaya tidak ada binatang pengganggu.,Diberi kapur barus supaya tidak ada bintang pengganggu.,IPS,Deletion Error
Disimpan dengan rapi dan menarik.,Disimpan dengan rapi an menarik.,IPS,Deletion Error
Dokumen yang ada di map plastik sekali-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,Dokumen yang ada di map plastik sekli-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,IPS,Deletion Error
Jawablah pertanyaan-pertanyaan di bawah ini!,Jawablah pertanyaan-pertanyaan di bawa ini!,IPS,Deletion Error
Apa yang dilakukan mahdi dan muti?,Apa yang dilakukan mahd dan muti?,IPS,Deletion Error
Apa akibatnya jika perangko tidak disusun?,Apa akibatnya jika peragko tidak disusun?,IPS,Deletion Error
Bagaimana cara merawat dokumen dan benda koleksi?,Bagaimana cara merawat dokumen dan benda kolksi?,IPS,Deletion Error
Sulit atau mudahkah merawat dokumen dan benda koleksi itu?,Sulit atau mudahkah merawat dokumen dan bena koleksi itu?,IPS,Deletion Error
Mengapa dokumen yang ada dalam map plastik harus dikeluarkan sekali-sekali?,Mengapa dokumen yang ada dalam map platik harus dikeluarkan sekali-sekali?,IPS,Deletion Error
Ceritakanlah di depan kelas benda apakah yang kamu dan keluargamu koleksi!,Ceritakanlah di depan kelas benda apakah yan kamu dan keluargamu koleksi!,IPS,Deletion Error
Ceritakan pula bagaimana cara kamu merawatnya!,Ceritakan pula bagaimana ara kamu merawatnya!,IPS,Deletion Error
Tempelkan foto pada setiap halaman buku gambar.,Tempelkan foto pada setiap halaman buku gamar.,IPS,Deletion Error
Jangan lupa beri komentarmu atau cerita singkat tentang foto tersebut.,Jangan lupa beri komentarmu atau cerita sinkat tentang foto tersebut.,IPS,Deletion Error
Hias sesukamu dengan menarik.,Hias sesukamu denan menarik.,IPS,Deletion Error
Dokumen dan koleksi benda harus selalu dirawat dan dipelihara dengan baik.,Dokumen dan koleksi benda harus selalu dirwat dan dipelihara dengan baik.,IPS,Deletion Error
"Merupakan contoh dokumen penting adalah foto,  akta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.","Merupakan contoh dokumen penting adalah foto,  kta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.",IPS,Deletion Error
Ktp dan sim biasanya dilaminating supaya awet.,Ktp dan sim biasanya dilaminating supaya awe.,IPS,Deletion Error
Memelihara benda koleksi harus diperhatikan tempat dan kebersihannya.,Memelihara benda koleksi harus diperhatikan tempat an kebersihannya.,IPS,Deletion Error
Merawat dokumen dan benda koleksi dibutuhkan kemauan yang kuat.,Merawat dokumen dan benda koleksi dibutuhkan kemuan yang kuat.,IPS,Deletion Error
Pilihlah jawaban yang benar!,Pilihlah jawaban yan benar!,IPS,Deletion Error
Isilah titik-titik di bawah ini dengan jawaban yang benar!,Isilah titik-titik di bawah ini dengan jwaban yang benar!,IPS,Deletion Error
Jawablah pertanyaan berikut ini dengan singkat dan jelas!,Jawablah pertanyaan berikut ini dengan singkat an jelas!,IPS,Deletion Error
Siapakah yang harus memelihara dokumen dan benda koleksi keluarga?,Siapakah yang harus memelihara dokumen dan bena koleksi keluarga?,IPS,Deletion Error
Apa yang kamu lakukan untuk merawat dan memelihara benda koleksi?,Apa yang kamu lakukan untuk merawat an memelihara benda koleksi?,IPS,Deletion Error
Mengapa dokumen dan benda koleksi harus dipelihara?,Mengapa dokumen dan benda koleksi harus diplihara?,IPS,Deletion Error
Bagaimana cara memelihara koleksi piala?,Bagaimana cara memelihara oleksi piala?,IPS,Deletion Error
Sebutkan apa saja yang termasuk benda koleksi itu?,Sebutkan apa saja yang termasuk benda kolksi itu?,IPS,Deletion Error
Kamu pasti menyukai cerita.,Kamu pasti menukai cerita.,IPS,Deletion Error
Kamu juga suka bercerita.,Kamu juga suk bercerita.,IPS,Deletion Error
Dokumen keluarga sebagai sumber cerita.,Dokumen keluarga sebagai sumbr cerita.,IPS,Deletion Error
Bisakah kamu bercerita berdasar dokumen keluarga?,Bisakah kamu bercerita berdsar dokumen keluarga?,IPS,Deletion Error
Suatu hari roni melihat album foto di lemari.,Suatu hari roni melihat album foto d lemari.,IPS,Deletion Error
Ternyata album itu berisi foto-foto dirinya.,Ternyata album itu berii foto-foto dirinya.,IPS,Deletion Error
Ada fotonya ketika masih bayi sedang digendong ibu.,Ada fotonya ketika masih bayi sedang digndong ibu.,IPS,Deletion Error
Waktu itu roni baru dilahirkan.,Waktu itu roni aru dilahirkan.,IPS,Deletion Error
"Ada pula foto-foto lainnya bersama keluarga, ketika roni masih kecil.","Ada pula foto-foto lainnya bersama keluarga, ketka roni masih kecil.",IPS,Deletion Error
"Kalau melihat foto, kita bisa mengenang masa lalu.","Kalau melihat foto, kita bisa mengenang msa lalu.",IPS,Deletion Error
Kamu bisa melihat dirimu ketika baru berumur satu tahun.,Kamu bisa melihat dirimu ketika baru bermur satu tahun.,IPS,Deletion Error
Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa.,Foto bisa mengingatkan kembali kenangan yang sudh kamu lupa.,IPS,Deletion Error
Apakah kamu pernah difoto?,Apakah kamu perah difoto?,IPS,Deletion Error
Di mana kamu difoto?,Di mana kam difoto?,IPS,Deletion Error
Dengan siapa kamu difoto?,Dengan siapa kam difoto?,IPS,Deletion Error
Foto harus disimpan dengan baik.,Foto harus disimpan dengn baik.,IPS,Deletion Error
Guru membimbing anak agar mereka mengetahui arti dokumen dan macam-macam dokumen.,Guru membimbing anak agar mereka mengetahui art dokumen dan macam-macam dokumen.,IPS,Deletion Error
Guru memperlihatkan macam-macam dokumen.,Guru memperlihatkan mcam-macam dokumen.,IPS,Deletion Error
Ini adalah fotoku.,Ini adalah ftoku.,IPS,Deletion Error
Foto ini dibuat satu tahun yang lalu.,Foto ini dibuat satu tahun yang lal.,IPS,Deletion Error
Foto ini juga ditempel diraporku.,Foto ini juga ditepel diraporku.,IPS,Deletion Error
Kalau ini foto keluargaku.,Kalau ini fto keluargaku.,IPS,Deletion Error
"Selain ada aku, ada ayah dan ibuku.","Selain ada aku, ada ayah dan ibuu.",IPS,Deletion Error
Kakak dan adikku juga ada.,Kakak dan adikku uga ada.,IPS,Deletion Error
Bisakah kamu tunjukkan yang mana diriku?,Bisakah kamu tunjukkan ang mana diriku?,IPS,Deletion Error
Semua foto disimpan dengan baik oleh ayah dan ibu.,Semua foto disimpan dengan baik oleh aya dan ibu.,IPS,Deletion Error
Suatu saat nanti foto akan jadi kenangan.,Suatu saat nanti foto akan jadi kenngan.,IPS,Deletion Error
Walaupun kamu nanti sudah besar.,Walaupun kamu nanti suda besar.,IPS,Deletion Error
Kamu masih bisa melihat dirimu ketika masih bayi.,Kamu mash bisa melihat dirimu ketika masih bayi.,IPS,Deletion Error
"Tanyakanlah kepada orang tuamu apakah mereka memiliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.","Tanyakanlah kepada orang tuamu apakah mereka memliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.",IPS,Deletion Error
Ceritakanlah peristiwa yang ada di foto itu!,Ceritakanlah peristiwa yang ada di foto tu!,IPS,Deletion Error
Minta pula kepada orang tuamu fotomu pada saat sekarang.,Minta pula kepda orang tuamu fotomu pada saat sekarang.,IPS,Deletion Error
Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan.,Tempelkanlah foto tersebut pada pojok kreativitas yan sudah disiapkan.,IPS,Deletion Error
Mintalah bantuan gurumu jika kamu mengalami kesulitan.,Mintalah bantuan gurumu jika kamu mengalami keslitan.,IPS,Deletion Error
Jangan lupa beri nama.,Jangan lupa ber nama.,IPS,Deletion Error
Perhatikanlah fotomu dan foto kawan-kawan sekelasmu.,Perhatikanlah otomu dan foto kawan-kawan sekelasmu.,IPS,Deletion Error
Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak-anak menempelkan foto.,Buatlah suatu pojok kreativitas di kelas sebgai tempat untuk anak-anak menempelkan foto.,IPS,Deletion Error
Pojok kreativitas bisa dihias oleh guru atau melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,Pojok kreativitas bisa dihias oleh guru ata melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,IPS,Deletion Error
"Berilah judul atau tema pada pojok kreativitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".","Berilah judul atau tema pada pojok kretivitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".",IPS,Deletion Error
"Aku lahir tanggal 12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.","Aku lahir tanggal 1, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.",IPS,Deletion Error
"Namanya adalah akta kelahiran,"" kata raihan.","Namanya adalah akta kelhiran,"" kata raihan.",IPS,Deletion Error
"Ketika anak dilahirkan, dokter atau bidan membuat surat kelahiran.","Ketika anak dilahirkan, dokter atau bidan memuat surat kelahiran.",IPS,Deletion Error
"Lalu ayah melaporkannya kepada pak rt, pak rw, dan pak lurah.","Lalu ayah melaporkannya kepada ak rt, pak rw, dan pak lurah.",IPS,Deletion Error
Kemudian ayah diberi surat keterangan.,Kemudian ayah diberi sura keterangan.,IPS,Deletion Error
Surat keterangan itu dibawanya ke kantor catatan sipil untuk dibuatkan akta kelahiran.,Surat keterangan itu dibawanya ke kantor ctatan sipil untuk dibuatkan akta kelahiran.,IPS,Deletion Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir.,Akta kelahiran disebut juga sebagai surat tana kenal lahir.,IPS,Deletion Error
Semua orang memiliki akta kelahiran.,Semua orang memiliki kta kelahiran.,IPS,Deletion Error
Akta kelahiran sangat penting.,Akta kelahiran sanat penting.,IPS,Deletion Error
Akta sangat banyak gunanya.,Akta sangat banak gunanya.,IPS,Deletion Error
Akta berguna untuk melanjutkan sekolah.,Akta berguna untuk melajutkan sekolah.,IPS,Deletion Error
Akta juga berguna untuk mencari pekerjaan.,Akta juga berguna untu mencari pekerjaan.,IPS,Deletion Error
"Kalau kamu akan pergi ke luar negeri, kamu memerlukan akta kelahiran.","Kalau kamu akan pergi ke luar ngeri, kamu memerlukan akta kelahiran.",IPS,Deletion Error
Perhatikanlah akta kelahiran di bawah ini!,Perhatikanlah akta kelahiran i bawah ini!,IPS,Deletion Error
"Contoh lain yang termasuk dokumen adalah ktp, kartu keluarga, ijazah, dan sim.","Contoh lain yang termasuk dokumen adalah tp, kartu keluarga, ijazah, dan sim.",IPS,Deletion Error
Ktp singkatan dari kartu tanda penduduk.,Ktp singkatan dari kart tanda penduduk.,IPS,Deletion Error
Setiap warga negara yang telah berumur 17 tahun harus  memiliki ktp.,Setiap warga negara yang telah berumur 1 tahun harus  memiliki ktp.,IPS,Deletion Error
Sim singkatan dari surat ijin mengemudi.,Sim singkatan dari sura ijin mengemudi.,IPS,Deletion Error
Sim harus dimiliki oleh semua pengendara motor dan mobil.,Sim harus dimiliki oleh semua pengendara mtor dan mobil.,IPS,Deletion Error
Kartu keluarga harus dimiliki oleh setiap keluarga.,Kartu kelarga harus dimiliki oleh setiap keluarga.,IPS,Deletion Error
Untuk membuat akta kelahiran dibutuhkan kartu keluarga.,Untuk membuat akta kelahiran dibutuhkan kartu kelarga.,IPS,Deletion Error
Apa manfaat foto?,Apa manfaat fto?,IPS,Deletion Error
Bagaimana cara menyimpan foto yang baik?,Bagaimana cara menyimpan oto yang baik?,IPS,Deletion Error
Siapakah yang membuat akta kelahiran?,Siapakah yang membuat kta kelahiran?,IPS,Deletion Error
Mengapa akta kelahiran sangat penting?,Mengapa akta kelahiran sngat penting?,IPS,Deletion Error
Benda apa saja yang termasuk dokumen?,Benda apa saja ang termasuk dokumen?,IPS,Deletion Error
Mintalah foto kopi akta kelahiranmu pada orang tuamu.,Mintalah foto kopi akta kelahiranmu pada orag tuamu.,IPS,Deletion Error
Bawalah ke sekolah.,Bawalah ke seklah.,IPS,Deletion Error
"Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawah ini.","Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bwah ini.",IPS,Deletion Error
Hasilnya kumpulkan kepada gurumu.,Hasilnya kumpulkan kepda gurumu.,IPS,Deletion Error
Siapakah nama lengkapmu?,Siapakah nama lenkapmu?,IPS,Deletion Error
Di manakah tempat kelahiranmu?,Di manakah temat kelahiranmu?,IPS,Deletion Error
Kapankah tanggal kelahiranmu?,Kapankah tanggal kelhiranmu?,IPS,Deletion Error
Siapakah nama ayahmu?,Siapakah nama ayamu?,IPS,Deletion Error
Siapakah nama ibumu?,Siapakah nama ibuu?,IPS,Deletion Error
Tanggal berapakah akta kelahiran itu dibuat?,Tanggal berapakah akta kelhiran itu dibuat?,IPS,Deletion Error
Di manakah akta itu dibuat?,Di manakah akta tu dibuat?,IPS,Deletion Error
Sekarang kita akan membuat map dokumen.,Sekarang kita akan membat map dokumen.,IPS,Deletion Error
Tempelkanlah foto dirimu di bagian paling depan map.,Tempelkanlah foto dirimu di bagian paling depn map.,IPS,Deletion Error
Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaanmu di bagian depan dan belakang map.,Tempelkanlah foto-foto lainnya atau gambar-gambar lucu keskaanmu di bagian depan dan belakang map.,IPS,Deletion Error
Jangan lupa sisakan bagian untuk menuliskan namamu sendiri.,Jangan lupa sisakan bagian untuk menuliskan nmamu sendiri.,IPS,Deletion Error
"Jika mau, buatlah judul untuk map tersebut sesukamu.","Jika mau, buatlah judul untuk map terebut sesukamu.",IPS,Deletion Error
Simpanlah foto kopi akta kelahiranmu di map buatanmu sendiri.,Simpanlah foto kopi akta kelahiranmu di ap buatanmu sendiri.,IPS,Deletion Error
Guru meminta dan mendorong anak untuk menceritakan peristiwa berkesan yang pernah dialami anak.,Guru meminta dan mendorong anak untuk meneritakan peristiwa berkesan yang pernah dialami anak.,IPS,Deletion Error
Deni tidak bosan memperhatikan fotonya.,Deni tidak bosan memperhatika fotonya.,IPS,Deletion Error
Foto itu terpasang di dinding dalam ruang keluarga.,Foto itu terpasang di dinding dalam ruag keluarga.,IPS,Deletion Error
Di foto itu ia sedang memegang piala didampingi ibunya.,Di foto itu ia sedang memegang piaa didampingi ibunya.,IPS,Deletion Error
Deni merasa sangat bangga.,Deni merasa sanat bangga.,IPS,Deletion Error
Saat itu deni mengikuti lomba sempoa.,Saat itu deni mengikui lomba sempoa.,IPS,Deletion Error
Deni ditunjuk mewakili sekolahnya.,Deni ditunjuk mewkili sekolahnya.,IPS,Deletion Error
Deni sangat gugup dan takut kalah.,Deni sangat gugup an takut kalah.,IPS,Deletion Error
Jantungnya berdetak sangat keras.,Jantungnya berdetak sanat keras.,IPS,Deletion Error
Tanpa disangka deni menang.,Tanpa disangka den menang.,IPS,Deletion Error
Deni senang sekali.,Deni senang sekli.,IPS,Deletion Error
Teman-teman dan guru berebutan untuk mengucapkan selamat.,Teman-teman dan guru berebutan untuk mengucapkan selmat.,IPS,Deletion Error
Peristiwa itu tidak akan pernah ia lupakan.,Peristiwa itu tidak akan pernah ia lupkan.,IPS,Deletion Error
Kamu pun pasti memiliki peristiwa atau pengalaman yang berkesan.,Kamu pun pasti memiliki peristiwa atau penalaman yang berkesan.,IPS,Deletion Error
Ceritakanlah di depan teman-temanmu peristiwa atau pengalaman berkesan yang pernah kamu alami itu.,Ceritakanlah di depan teman-temanmu peristiwa atau penalaman berkesan yang pernah kamu alami itu.,IPS,Deletion Error
"Lewat foto itu pasya mengenang lagi masa lalunya, ketika ia sedang dikhitan.","Lewat foto itu pasya mengenang lagi msa lalunya, ketika ia sedang dikhitan.",IPS,Deletion Error
Ternyata dikhitan tidak sakit.,Ternyata dikhitan tidk sakit.,IPS,Deletion Error
Peristiwa khitanan bagi anak laki-laki merupakan peristiwa besar.,Peristiwa khitanan bagi anak laki-laki merupakan perstiwa besar.,IPS,Deletion Error
Lomba apakah yang diikuti deni?,Lomba apakah yang diikti deni?,IPS,Deletion Error
Apa yang terjadi setelah deni ditunjuk mewakili sekolahnya?,Apa yang terjadi setelah deni ditunjuk mewkili sekolahnya?,IPS,Deletion Error
Bagaimanakah perasaan deni ketika melihat fotonya?,Bagaimanakah perasaan deni etika melihat fotonya?,IPS,Deletion Error
Foto apakah yang diperlihatkan pasya kepada arman?,Foto apakah yang diperlihatkan pasya kepada rman?,IPS,Deletion Error
Apakah pasya menangis ketika dikhitan?,Apakah pasya menangis etika dikhitan?,IPS,Deletion Error
Foto termasuk dokumen diri.,Foto termasuk dokmen diri.,IPS,Deletion Error
Foto berguna untuk mengenang peristiwa dimasa lalu.,Foto berguna untuk mengenang peristiwa dimasa lal.,IPS,Deletion Error
"Akta kelahiran, kartu keluarga, ktp, ijazah, dan sim adalah dokumen penting.","Akta kelahiran, kartu keluarga, ktp, ijazah, an sim adalah dokumen penting.",IPS,Deletion Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir seseorang.,Akta kelahiran disebut juga sebagai surat tana kenal lahir seseorang.,IPS,Deletion Error
Dokumen penting harus dijaga dan dirawat dengan baik.,Dokumen penting harus dijaga dan dirawat denan baik.,IPS,Deletion Error
Apa sajakah yang termasuk dokumen penting keluarga?,Apa sajakah yang termasuk dokumen penting kelarga?,IPS,Deletion Error
Apakah alat yang digunakan untuk mengambil foto?,Apakah alat yang digunakan untuk mengambil fto?,IPS,Deletion Error
Sebutkan guna akta kelahiran?,Sebutkan guna kta kelahiran?,IPS,Deletion Error
Mengapa dokumen penting keluarga harus dijaga dan dirawat?,Mengapa dokumen penting keluarga harus dijaga an dirawat?,IPS,Deletion Error
Dokumen apakah yang harus dimiliki pengendara motor dan mobil?,Dokumen apakah yang harus dimiliki pengendara mtor dan mobil?,IPS,Deletion Error
Tiap keluarga punya peristiwa penting.,Tiap keluarga punya peristia penting.,IPS,Deletion Error
Ada yang menyenangkan.,Ada yang menenangkan.,IPS,Deletion Error
Ada yang menyedihkan.,Ada yang menedihkan.,IPS,Deletion Error
Semuanya sangat berguna.,Semuanya sangat beruna.,IPS,Deletion Error
Kita bisa ambil hikmahnya.,Kita bisa ambl hikmahnya.,IPS,Deletion Error
Guru membimbing anak untuk mengetahui arti peristiwa.,Guru membimbing anak untuk mengetahui arti perstiwa.,IPS,Deletion Error
Guru juga membimbing dan mendorong anak untuk menceritakan peristiwa menyenangkan dalam keluarga.,Guru juga membimbing dan mendorong anak ntuk menceritakan peristiwa menyenangkan dalam keluarga.,IPS,Deletion Error
Setiap orang mengalami peristiwa menyenangkan dalam hidupnya.,Setiap orang mengalami peristiwa menyenangkan dalam hidpnya.,IPS,Deletion Error
Peristiwa yang pernah kita alami disebut pengalaman.,Peristiwa yang pernah kita alami disebut penalaman.,IPS,Deletion Error
Bagaimana denganmu?,Bgaimana denganmu?,IPS,Deletion Error
Apakah kamu juga memiliki peristiwa menyenangkan bersama keluarga?,Apakah kamu juga memiliki peristiwa menyenangkan berama keluarga?,IPS,Deletion Error
"Ketika berumur enam tahun, ayah dan ibu memasukkan aldo ke sekolah dasar atau sd.","Ketika berumur enam tahun, ayah dan bu memasukkan aldo ke sekolah dasar atau sd.",IPS,Deletion Error
Aldo senang sekali karena di sd lebih banyak teman.,Aldo senang sekali karena di sd lebh banyak teman.,IPS,Deletion Error
Ada laki-laki dan ada perempuan.,Ada laki-laki dan da perempuan.,IPS,Deletion Error
Waktu pertama kali ke sekolah aldo diantar ibu.,Waktu pertama kali ke sekolah aldo diatar ibu.,IPS,Deletion Error
Lama-kelamaan aldo jadi berani pergi sendiri ke sekolah.,Lama-klamaan aldo jadi berani pergi sendiri ke sekolah.,IPS,Deletion Error
Karena sekolahnya dekat dengan rumah.,Karena sekolahnya dekat dengn rumah.,IPS,Deletion Error
"Pulangnya, aldo berjalan kaki sendirian.","Pulangnya, aldo berjalan aki sendirian.",IPS,Deletion Error
"Di sekolah, aldo belajar bersama teman-teman.","Di sekolah, aldo belaar bersama teman-teman.",IPS,Deletion Error
Aldo sangat senang belajar di kelas.,Aldo sangat senang belaar di kelas.,IPS,Deletion Error
Semua guru baik dan ramah.,Semua guru baik an ramah.,IPS,Deletion Error
Ibu guru dan bapak guru selalu sabar membimbing aldo dan teman-teman.,Ibu guru dan bapak guru selalu sbar membimbing aldo dan teman-teman.,IPS,Deletion Error
Aldo dan teman-teman jadi rajin belajar.,Aldo dan teman-teman adi rajin belajar.,IPS,Deletion Error
Astri merayakan ulang tahunnya yang kedelapan.,Astri merayakan ulang tahunya yang kedelapan.,IPS,Deletion Error
La mengundang teman-temannya ke rumah.,La mengundang teman-temannya e rumah.,IPS,Deletion Error
Semua teman menyanyikan lagu selamat ulang tahun sambil bertepuk tangan.,Semua teman menyanyikan lagu selamat ulang tahn sambil bertepuk tangan.,IPS,Deletion Error
"Astri meniup lilin ulang tahun, jumlahnya ada delapan buah.","Astri meniup lilin ulang tahun, jumlahnya da delapan buah.",IPS,Deletion Error
Astri senang sekali karena orang tua dan semua temannya mengucapkan selamat.,Astri senang sekali karena orang tua an semua temannya mengucapkan selamat.,IPS,Deletion Error
