kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Gambar di atas merupakan sebagian contoh dokumen.,Gambar di atas merupakan sebagian contoh dovumen.,IPS,Subtitution Error
"Kartu keluarga, ktp, dan sim biasanya dilaminating supaya tidak rusak.","Kartu keluarga, ktp, dan sim biasanya dilaminatiwg supaya tidak rusak.",IPS,Subtitution Error
Laminating adalah pengepresan dokumen.,Laminating adalah pengepresav dokumen.,IPS,Subtitution Error
Dokumen dilapisi plastik khusus dan kemudian dipanaskan dengan mesin sampai merekat.,Dokumen dilapisi plastik khusus dan kemudian dipanasvan dengan mesin sampai merekat.,IPS,Subtitution Error
Ktp dan sim adalah identitas diri yang harus selalu dibawa.,Ktp dan sim adalah identitas diri wang harus selalu dibawa.,IPS,Subtitution Error
Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran.,Koleksi benda berharga dirawat dengan cara dibersihkaj dari debu dan kotoran.,IPS,Subtitution Error
Tempat untuk menyimpannya pun jangan sembarangan.,Tempat untuk menyimpannya puq jangan sembarangan.,IPS,Subtitution Error
Supaya tidak kusam dan tidak mudah rusak.,Supaya tidak kusam dan tidak mudah rusay.,IPS,Subtitution Error
"Contoh benda koleksi adalah piala, medali, uang kuno, buku, perangko lama, lukisan, dan masih banyak lagi.","Contoh benda koleksi adalah piala, medali, xang kuno, buku, perangko lama, lukisan, dan masih banyak lagi.",IPS,Subtitution Error
Jika terawat dengan baik harganya jadi mahal.,Jika terawat dengan baik harganya jadi mahax.,IPS,Subtitution Error
"Jika tidak terawat, kelihatan jelek dan tidak laku.","Jika tiday terawat, kelihatan jelek dan tidak laku.",IPS,Subtitution Error
Sebutkan macam-macam dokumen!,Sebutkan macam-macam dovumen!,IPS,Subtitution Error
Apa yang terjadi jika dokumen tidak dirawat?,Apa yang terjadi jika dokumen tidak dirazat?,IPS,Subtitution Error
Bagaimana supaya ktp dan sim menjadi awet?,Bagaimana supaya ktp dan sim menjadi xwet?,IPS,Subtitution Error
Apa sajakah benda yang layak dikoleksi?,Apa sajakah benda yarg layak dikoleksi?,IPS,Subtitution Error
Bagaimana cara merawat benda koleksi?,Bagaimana cara merawat betda koleksi?,IPS,Subtitution Error
Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,Jodohkanlah dengan cara menarik garis lurus antaxa dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,IPS,Subtitution Error
Cermatilah gambar di bawah ini!,Cermatilah gambar di barah ini!,IPS,Subtitution Error
"Berilah tanda v pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu.","Berilah tanda v pada kolom ya, bukay, atau tidak tahu sesuai dengan pendapatmu.",IPS,Subtitution Error
Hasilnya kumpulkan kepada gurumu!,Hasilnya kumpulkan kepaya gurumu!,IPS,Subtitution Error
Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya.,Guru mengajarkan anak cara menyimpan dan merazat dokumen serta koleksi benda berharga pribadi serta keluarganya.,IPS,Subtitution Error
Suatu hari mahdi mengajak muti menyusun perangko dalam album.,Suatu hari mahdi mengajak muti menyusun pewangko dalam album.,IPS,Subtitution Error
Muti adalah adik mahdi.,Muti adalah xdik mahdi.,IPS,Subtitution Error
Mahdi sangat sayang kepada muti.,Mahdi sangat sayang ketada muti.,IPS,Subtitution Error
"Bersihkan dokumen dan benda koleksi dari kotoran, terutama debu.","Bersihkan dokumen dan benda koleksi dari kotozan, terutama debu.",IPS,Subtitution Error
Simpan dokumen dan benda koleksi di tempat yang kering.,Simpan dokumen dan benda koleksi di tempyt yang kering.,IPS,Subtitution Error
Jangan lupa bersihkan dulu tempat itu.,Jangan lupa bersihkan duqu tempat itu.,IPS,Subtitution Error
Diberi kapur barus supaya tidak ada binatang pengganggu.,Diberi kapur barus supaya tidak ada binazang pengganggu.,IPS,Subtitution Error
Disimpan dengan rapi dan menarik.,Disimpan dengan rapi dar menarik.,IPS,Subtitution Error
Dokumen yang ada di map plastik sekali-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,Dokumen yang ada di map plastik sekali-sekalz harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,IPS,Subtitution Error
Jawablah pertanyaan-pertanyaan di bawah ini!,Jawablah pertanyaan-pertanyaan di barah ini!,IPS,Subtitution Error
Apa yang dilakukan mahdi dan muti?,Apa yang dilakukan matdi dan muti?,IPS,Subtitution Error
Apa akibatnya jika perangko tidak disusun?,Apa akibatnya jika pewangko tidak disusun?,IPS,Subtitution Error
Bagaimana cara merawat dokumen dan benda koleksi?,Bagaimana cara merawat dokumen dan benda kolezsi?,IPS,Subtitution Error
Sulit atau mudahkah merawat dokumen dan benda koleksi itu?,Sulit atau mudahkah merawat dokumen dan bendy koleksi itu?,IPS,Subtitution Error
Mengapa dokumen yang ada dalam map plastik harus dikeluarkan sekali-sekali?,Mengapa dokumen yang ada dalam map plvstik harus dikeluarkan sekali-sekali?,IPS,Subtitution Error
Ceritakanlah di depan kelas benda apakah yang kamu dan keluargamu koleksi!,Ceritakanlah di depan kelas benda apakah wang kamu dan keluargamu koleksi!,IPS,Subtitution Error
Ceritakan pula bagaimana cara kamu merawatnya!,Ceritakan pula bagaimana caqa kamu merawatnya!,IPS,Subtitution Error
Tempelkan foto pada setiap halaman buku gambar.,Tempelkan foto pada setiap halaman buku gambyr.,IPS,Subtitution Error
Jangan lupa beri komentarmu atau cerita singkat tentang foto tersebut.,Jangan lupa beri komentarmu atau cerita sivgkat tentang foto tersebut.,IPS,Subtitution Error
Hias sesukamu dengan menarik.,Hias sesukamu dengyn menarik.,IPS,Subtitution Error
Dokumen dan koleksi benda harus selalu dirawat dan dipelihara dengan baik.,Dokumen dan koleksi benda harus selalu dirazat dan dipelihara dengan baik.,IPS,Subtitution Error
"Merupakan contoh dokumen penting adalah foto,  akta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.","Merupakan contoh dokumen penting adalah foto,  wkta kelahiran, ijazah, kartu keluarga, surat tanah, ktp, sim, dan lain-lain.",IPS,Subtitution Error
Ktp dan sim biasanya dilaminating supaya awet.,Ktp dan sim biasanya dilaminating supaya xwet.,IPS,Subtitution Error
Memelihara benda koleksi harus diperhatikan tempat dan kebersihannya.,Memelihara benda koleksi harus diperhatikan tempat wan kebersihannya.,IPS,Subtitution Error
Merawat dokumen dan benda koleksi dibutuhkan kemauan yang kuat.,Merawat dokumen dan benda koleksi dibutuhkan kemazan yang kuat.,IPS,Subtitution Error
Pilihlah jawaban yang benar!,Pilihlah jawaban wang benar!,IPS,Subtitution Error
Isilah titik-titik di bawah ini dengan jawaban yang benar!,Isilah titik-titik di bawah ini dengan jawayan yang benar!,IPS,Subtitution Error
Jawablah pertanyaan berikut ini dengan singkat dan jelas!,Jawablah pertanyaan berikut ini dengan singkat wan jelas!,IPS,Subtitution Error
Siapakah yang harus memelihara dokumen dan benda koleksi keluarga?,Siapakah yang harus memelihara dokumen dan bendy koleksi keluarga?,IPS,Subtitution Error
Apa yang kamu lakukan untuk merawat dan memelihara benda koleksi?,Apa yang kamu lakukan untuk merawat wan memelihara benda koleksi?,IPS,Subtitution Error
Mengapa dokumen dan benda koleksi harus dipelihara?,Mengapa dokumen dan benda koleksi harus dipelihwra?,IPS,Subtitution Error
Bagaimana cara memelihara koleksi piala?,Bagaimana cara memelihara koueksi piala?,IPS,Subtitution Error
Sebutkan apa saja yang termasuk benda koleksi itu?,Sebutkan apa saja yang termasuk benda kolezsi itu?,IPS,Subtitution Error
Kamu pasti menyukai cerita.,Kamu pasti mevyukai cerita.,IPS,Subtitution Error
Kamu juga suka bercerita.,Kamu juga xuka bercerita.,IPS,Subtitution Error
Dokumen keluarga sebagai sumber cerita.,Dokumen keluarga sebagai sutber cerita.,IPS,Subtitution Error
Bisakah kamu bercerita berdasar dokumen keluarga?,Bisakah kamu bercerita beudasar dokumen keluarga?,IPS,Subtitution Error
Suatu hari roni melihat album foto di lemari.,Suatu hari roni melihat album foto vi lemari.,IPS,Subtitution Error
Ternyata album itu berisi foto-foto dirinya.,Ternyata album itu betisi foto-foto dirinya.,IPS,Subtitution Error
Ada fotonya ketika masih bayi sedang digendong ibu.,Ada fotonya ketika masih bayi sedang digendozg ibu.,IPS,Subtitution Error
Waktu itu roni baru dilahirkan.,Waktu itu roni baqu dilahirkan.,IPS,Subtitution Error
"Ada pula foto-foto lainnya bersama keluarga, ketika roni masih kecil.","Ada pula foto-foto lainnya bersama keluarga, ketiya roni masih kecil.",IPS,Subtitution Error
"Kalau melihat foto, kita bisa mengenang masa lalu.","Kalau melihat foto, kita bisa mengenang wasa lalu.",IPS,Subtitution Error
Kamu bisa melihat dirimu ketika baru berumur satu tahun.,Kamu bisa melihat dirimu ketika baru beruyur satu tahun.,IPS,Subtitution Error
Foto bisa mengingatkan kembali kenangan yang sudah kamu lupa.,Foto bisa mengingatkan kembali kenangan yang suday kamu lupa.,IPS,Subtitution Error
Apakah kamu pernah difoto?,Apakah kamu pernzh difoto?,IPS,Subtitution Error
Di mana kamu difoto?,Di mana xamu difoto?,IPS,Subtitution Error
Dengan siapa kamu difoto?,Dengan siapa xamu difoto?,IPS,Subtitution Error
Foto harus disimpan dengan baik.,Foto harus disimpan detgan baik.,IPS,Subtitution Error
Guru membimbing anak agar mereka mengetahui arti dokumen dan macam-macam dokumen.,Guru membimbing anak agar mereka mengetahui xrti dokumen dan macam-macam dokumen.,IPS,Subtitution Error
Guru memperlihatkan macam-macam dokumen.,Guru memperlihatkan macam-macaw dokumen.,IPS,Subtitution Error
Ini adalah fotoku.,Ini adalah fotoyu.,IPS,Subtitution Error
Foto ini dibuat satu tahun yang lalu.,Foto ini dibuat satu tahun yang walu.,IPS,Subtitution Error
Foto ini juga ditempel diraporku.,Foto ini juga divempel diraporku.,IPS,Subtitution Error
Kalau ini foto keluargaku.,Kalau ini woto keluargaku.,IPS,Subtitution Error
"Selain ada aku, ada ayah dan ibuku.","Selain ada aku, ada ayah dan ibukx.",IPS,Subtitution Error
Kakak dan adikku juga ada.,Kakak dan adikku jura ada.,IPS,Subtitution Error
Bisakah kamu tunjukkan yang mana diriku?,Bisakah kamu tunjukkan yarg mana diriku?,IPS,Subtitution Error
Semua foto disimpan dengan baik oleh ayah dan ibu.,Semua foto disimpan dengan baik oleh vyah dan ibu.,IPS,Subtitution Error
Suatu saat nanti foto akan jadi kenangan.,Suatu saat nanti foto akan jadi kenaygan.,IPS,Subtitution Error
Walaupun kamu nanti sudah besar.,Walaupun kamu nanti surah besar.,IPS,Subtitution Error
Kamu masih bisa melihat dirimu ketika masih bayi.,Kamu masiy bisa melihat dirimu ketika masih bayi.,IPS,Subtitution Error
"Tanyakanlah kepada orang tuamu apakah mereka memiliki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.","Tanyakanlah kepada orang tuamu apakah mereka memiyiki foto dirimu, misalnya foto ketika kamu bayi, ketika dikhitan, ketika ulang tahun, atau apa pun.",IPS,Subtitution Error
Ceritakanlah peristiwa yang ada di foto itu!,Ceritakanlah peristiwa yang ada di foto wtu!,IPS,Subtitution Error
Minta pula kepada orang tuamu fotomu pada saat sekarang.,Minta pula kewada orang tuamu fotomu pada saat sekarang.,IPS,Subtitution Error
Tempelkanlah foto tersebut pada pojok kreativitas yang sudah disiapkan.,Tempelkanlah foto tersebut pada pojok kreativitas wang sudah disiapkan.,IPS,Subtitution Error
Mintalah bantuan gurumu jika kamu mengalami kesulitan.,Mintalah bantuan gurumu jika kamu mengalami kesulitxn.,IPS,Subtitution Error
Jangan lupa beri nama.,Jangan lupa xeri nama.,IPS,Subtitution Error
Perhatikanlah fotomu dan foto kawan-kawan sekelasmu.,Perhatikanlah foqomu dan foto kawan-kawan sekelasmu.,IPS,Subtitution Error
Buatlah suatu pojok kreativitas di kelas sebagai tempat untuk anak-anak menempelkan foto.,Buatlah suatu pojok kreativitas di kelas sebazai tempat untuk anak-anak menempelkan foto.,IPS,Subtitution Error
Pojok kreativitas bisa dihias oleh guru atau melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,Pojok kreativitas bisa dihias oleh guru wtau melibatkan anak-anak untuk menjadikannya lebih semarak dan menarik.,IPS,Subtitution Error
"Berilah judul atau tema pada pojok kreativitas ini, misalnya ""pojok diriku"" atau ""inilah aku"".","Berilah judul atau tema pada pojok kreativitaw ini, misalnya ""pojok diriku"" atau ""inilah aku"".",IPS,Subtitution Error
"Aku lahir tanggal 12, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.","Aku lahir tanggal t2, tepatnya tanggal 12 oktober tahun 2000 di bandung, jawab raihan.",IPS,Subtitution Error
"Namanya adalah akta kelahiran,"" kata raihan.","Namanya adalah akta kelahirwn,"" kata raihan.",IPS,Subtitution Error
"Ketika anak dilahirkan, dokter atau bidan membuat surat kelahiran.","Ketika anak dilahirkan, dokter atau bidan membzat surat kelahiran.",IPS,Subtitution Error
"Lalu ayah melaporkannya kepada pak rt, pak rw, dan pak lurah.","Lalu ayah melaporkannya kepada wak rt, pak rw, dan pak lurah.",IPS,Subtitution Error
Kemudian ayah diberi surat keterangan.,Kemudian ayah diberi supat keterangan.,IPS,Subtitution Error
Surat keterangan itu dibawanya ke kantor catatan sipil untuk dibuatkan akta kelahiran.,Surat keterangan itu dibawanya ke kantor cataxan sipil untuk dibuatkan akta kelahiran.,IPS,Subtitution Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir.,Akta kelahiran disebut juga sebagai surat tandx kenal lahir.,IPS,Subtitution Error
Semua orang memiliki akta kelahiran.,Semua orang memiliki akqa kelahiran.,IPS,Subtitution Error
Akta kelahiran sangat penting.,Akta kelahiran sangyt penting.,IPS,Subtitution Error
Akta sangat banyak gunanya.,Akta sangat banyxk gunanya.,IPS,Subtitution Error
Akta berguna untuk melanjutkan sekolah.,Akta berguna untuk melanjutkax sekolah.,IPS,Subtitution Error
Akta juga berguna untuk mencari pekerjaan.,Akta juga berguna unquk mencari pekerjaan.,IPS,Subtitution Error
"Kalau kamu akan pergi ke luar negeri, kamu memerlukan akta kelahiran.","Kalau kamu akan pergi ke luar negeyi, kamu memerlukan akta kelahiran.",IPS,Subtitution Error
Perhatikanlah akta kelahiran di bawah ini!,Perhatikanlah akta kelahiran qi bawah ini!,IPS,Subtitution Error
"Contoh lain yang termasuk dokumen adalah ktp, kartu keluarga, ijazah, dan sim.","Contoh lain yang termasuk dokumen adalah wtp, kartu keluarga, ijazah, dan sim.",IPS,Subtitution Error
Ktp singkatan dari kartu tanda penduduk.,Ktp singkatan dari kaqtu tanda penduduk.,IPS,Subtitution Error
Setiap warga negara yang telah berumur 17 tahun harus  memiliki ktp.,Setiap warga negara yang telah berumur t7 tahun harus  memiliki ktp.,IPS,Subtitution Error
Sim singkatan dari surat ijin mengemudi.,Sim singkatan dari supat ijin mengemudi.,IPS,Subtitution Error
Sim harus dimiliki oleh semua pengendara motor dan mobil.,Sim harus dimiliki oleh semua pengendara motox dan mobil.,IPS,Subtitution Error
Kartu keluarga harus dimiliki oleh setiap keluarga.,Kartu kevuarga harus dimiliki oleh setiap keluarga.,IPS,Subtitution Error
Untuk membuat akta kelahiran dibutuhkan kartu keluarga.,Untuk membuat akta kelahiran dibutuhkan kartu kevuarga.,IPS,Subtitution Error
Apa manfaat foto?,Apa manfaat woto?,IPS,Subtitution Error
Bagaimana cara menyimpan foto yang baik?,Bagaimana cara menyimpan foqo yang baik?,IPS,Subtitution Error
Siapakah yang membuat akta kelahiran?,Siapakah yang membuat akqa kelahiran?,IPS,Subtitution Error
Mengapa akta kelahiran sangat penting?,Mengapa akta kelahiran sargat penting?,IPS,Subtitution Error
Benda apa saja yang termasuk dokumen?,Benda apa saja yarg termasuk dokumen?,IPS,Subtitution Error
Mintalah foto kopi akta kelahiranmu pada orang tuamu.,Mintalah foto kopi akta kelahiranmu pada orany tuamu.,IPS,Subtitution Error
Bawalah ke sekolah.,Bawalah ke sevolah.,IPS,Subtitution Error
"Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawah ini.","Amatilah isinya, lalu isilah pertanyaan-pertanyaan di bawax ini.",IPS,Subtitution Error
Hasilnya kumpulkan kepada gurumu.,Hasilnya kumpulkan kepaya gurumu.,IPS,Subtitution Error
Siapakah nama lengkapmu?,Siapakah nama lengkapxu?,IPS,Subtitution Error
Di manakah tempat kelahiranmu?,Di manakah tempyt kelahiranmu?,IPS,Subtitution Error
Kapankah tanggal kelahiranmu?,Kapankah tanggal kelahiranmf?,IPS,Subtitution Error
Siapakah nama ayahmu?,Siapakah nama ayahxu?,IPS,Subtitution Error
Siapakah nama ibumu?,Siapakah nama ibumx?,IPS,Subtitution Error
Tanggal berapakah akta kelahiran itu dibuat?,Tanggal berapakah akta kelahirwn itu dibuat?,IPS,Subtitution Error
Di manakah akta itu dibuat?,Di manakah akta itp dibuat?,IPS,Subtitution Error
Sekarang kita akan membuat map dokumen.,Sekarang kita akan mesbuat map dokumen.,IPS,Subtitution Error
Tempelkanlah foto dirimu di bagian paling depan map.,Tempelkanlah foto dirimu di bagian paling depay map.,IPS,Subtitution Error
Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaanmu di bagian depan dan belakang map.,Tempelkanlah foto-foto lainnya atau gambar-gambar lucu kesukaavmu di bagian depan dan belakang map.,IPS,Subtitution Error
Jangan lupa sisakan bagian untuk menuliskan namamu sendiri.,Jangan lupa sisakan bagian untuk menuliskan namaxu sendiri.,IPS,Subtitution Error
"Jika mau, buatlah judul untuk map tersebut sesukamu.","Jika mau, buatlah judul untuk map terszbut sesukamu.",IPS,Subtitution Error
Simpanlah foto kopi akta kelahiranmu di map buatanmu sendiri.,Simpanlah foto kopi akta kelahiranmu di wap buatanmu sendiri.,IPS,Subtitution Error
Guru meminta dan mendorong anak untuk menceritakan peristiwa berkesan yang pernah dialami anak.,Guru meminta dan mendorong anak untuk menceritakxn peristiwa berkesan yang pernah dialami anak.,IPS,Subtitution Error
Deni tidak bosan memperhatikan fotonya.,Deni tidak bosan memperhatiwan fotonya.,IPS,Subtitution Error
Foto itu terpasang di dinding dalam ruang keluarga.,Foto itu terpasang di dinding dalam ruany keluarga.,IPS,Subtitution Error
Di foto itu ia sedang memegang piala didampingi ibunya.,Di foto itu ia sedang memegang pialx didampingi ibunya.,IPS,Subtitution Error
Deni merasa sangat bangga.,Deni merasa sangyt bangga.,IPS,Subtitution Error
Saat itu deni mengikuti lomba sempoa.,Saat itu deni mengikuwi lomba sempoa.,IPS,Subtitution Error
Deni ditunjuk mewakili sekolahnya.,Deni ditunjuk meuakili sekolahnya.,IPS,Subtitution Error
Deni sangat gugup dan takut kalah.,Deni sangat gugup dar takut kalah.,IPS,Subtitution Error
Jantungnya berdetak sangat keras.,Jantungnya berdetak sangyt keras.,IPS,Subtitution Error
Tanpa disangka deni menang.,Tanpa disangka xeni menang.,IPS,Subtitution Error
Deni senang sekali.,Deni senang sekazi.,IPS,Subtitution Error
Teman-teman dan guru berebutan untuk mengucapkan selamat.,Teman-teman dan guru berebutan untuk mengucapkan selazat.,IPS,Subtitution Error
Peristiwa itu tidak akan pernah ia lupakan.,Peristiwa itu tidak akan pernah ia lupazan.,IPS,Subtitution Error
Kamu pun pasti memiliki peristiwa atau pengalaman yang berkesan.,Kamu pun pasti memiliki peristiwa atau pengalavan yang berkesan.,IPS,Subtitution Error
Ceritakanlah di depan teman-temanmu peristiwa atau pengalaman berkesan yang pernah kamu alami itu.,Ceritakanlah di depan teman-temanmu peristiwa atau pengalavan berkesan yang pernah kamu alami itu.,IPS,Subtitution Error
"Lewat foto itu pasya mengenang lagi masa lalunya, ketika ia sedang dikhitan.","Lewat foto itu pasya mengenang lagi wasa lalunya, ketika ia sedang dikhitan.",IPS,Subtitution Error
Ternyata dikhitan tidak sakit.,Ternyata dikhitan tiday sakit.,IPS,Subtitution Error
Peristiwa khitanan bagi anak laki-laki merupakan peristiwa besar.,Peristiwa khitanan bagi anak laki-laki merupakan peristiva besar.,IPS,Subtitution Error
Lomba apakah yang diikuti deni?,Lomba apakah yang dirkuti deni?,IPS,Subtitution Error
Apa yang terjadi setelah deni ditunjuk mewakili sekolahnya?,Apa yang terjadi setelah deni ditunjuk meuakili sekolahnya?,IPS,Subtitution Error
Bagaimanakah perasaan deni ketika melihat fotonya?,Bagaimanakah perasaan deni kesika melihat fotonya?,IPS,Subtitution Error
Foto apakah yang diperlihatkan pasya kepada arman?,Foto apakah yang diperlihatkan pasya kepada armax?,IPS,Subtitution Error
Apakah pasya menangis ketika dikhitan?,Apakah pasya menangis kesika dikhitan?,IPS,Subtitution Error
Foto termasuk dokumen diri.,Foto termasuk dovumen diri.,IPS,Subtitution Error
Foto berguna untuk mengenang peristiwa dimasa lalu.,Foto berguna untuk mengenang peristiwa dimasa walu.,IPS,Subtitution Error
"Akta kelahiran, kartu keluarga, ktp, ijazah, dan sim adalah dokumen penting.","Akta kelahiran, kartu keluarga, ktp, ijazah, wan sim adalah dokumen penting.",IPS,Subtitution Error
Akta kelahiran disebut juga sebagai surat tanda kenal lahir seseorang.,Akta kelahiran disebut juga sebagai surat tandx kenal lahir seseorang.,IPS,Subtitution Error
Dokumen penting harus dijaga dan dirawat dengan baik.,Dokumen penting harus dijaga dan dirawat dengyn baik.,IPS,Subtitution Error
Apa sajakah yang termasuk dokumen penting keluarga?,Apa sajakah yang termasuk dokumen penting kevuarga?,IPS,Subtitution Error
Apakah alat yang digunakan untuk mengambil foto?,Apakah alat yang digunakan untuk mengambil woto?,IPS,Subtitution Error
Sebutkan guna akta kelahiran?,Sebutkan guna wkta kelahiran?,IPS,Subtitution Error
Mengapa dokumen penting keluarga harus dijaga dan dirawat?,Mengapa dokumen penting keluarga harus dijaga wan dirawat?,IPS,Subtitution Error
Dokumen apakah yang harus dimiliki pengendara motor dan mobil?,Dokumen apakah yang harus dimiliki pengendara motox dan mobil?,IPS,Subtitution Error
Tiap keluarga punya peristiwa penting.,Tiap keluarga punya peristiva penting.,IPS,Subtitution Error
Ada yang menyenangkan.,Ada yang menyenangkun.,IPS,Subtitution Error
Ada yang menyedihkan.,Ada yang menyedihkaw.,IPS,Subtitution Error
Semuanya sangat berguna.,Semuanya sangat bevguna.,IPS,Subtitution Error
Kita bisa ambil hikmahnya.,Kita bisa ambiy hikmahnya.,IPS,Subtitution Error
Guru membimbing anak untuk mengetahui arti peristiwa.,Guru membimbing anak untuk mengetahui arti peristiva.,IPS,Subtitution Error
Guru juga membimbing dan mendorong anak untuk menceritakan peristiwa menyenangkan dalam keluarga.,Guru juga membimbing dan mendorong anak untux menceritakan peristiwa menyenangkan dalam keluarga.,IPS,Subtitution Error
Setiap orang mengalami peristiwa menyenangkan dalam hidupnya.,Setiap orang mengalami peristiwa menyenangkan dalam hivupnya.,IPS,Subtitution Error
Peristiwa yang pernah kita alami disebut pengalaman.,Peristiwa yang pernah kita alami disebut pengalavan.,IPS,Subtitution Error
Bagaimana denganmu?,Bagaimaza denganmu?,IPS,Subtitution Error
Apakah kamu juga memiliki peristiwa menyenangkan bersama keluarga?,Apakah kamu juga memiliki peristiwa menyenangkan berszma keluarga?,IPS,Subtitution Error
"Ketika berumur enam tahun, ayah dan ibu memasukkan aldo ke sekolah dasar atau sd.","Ketika berumur enam tahun, ayah dan wbu memasukkan aldo ke sekolah dasar atau sd.",IPS,Subtitution Error
Aldo senang sekali karena di sd lebih banyak teman.,Aldo senang sekali karena di sd lebiy banyak teman.,IPS,Subtitution Error
Ada laki-laki dan ada perempuan.,Ada laki-laki dan adq perempuan.,IPS,Subtitution Error
Waktu pertama kali ke sekolah aldo diantar ibu.,Waktu pertama kali ke sekolah aldo dianzar ibu.,IPS,Subtitution Error
Lama-kelamaan aldo jadi berani pergi sendiri ke sekolah.,Lama-velamaan aldo jadi berani pergi sendiri ke sekolah.,IPS,Subtitution Error
Karena sekolahnya dekat dengan rumah.,Karena sekolahnya dekat detgan rumah.,IPS,Subtitution Error
"Pulangnya, aldo berjalan kaki sendirian.","Pulangnya, aldo berjalan kari sendirian.",IPS,Subtitution Error
"Di sekolah, aldo belajar bersama teman-teman.","Di sekolah, aldo beuajar bersama teman-teman.",IPS,Subtitution Error
Aldo sangat senang belajar di kelas.,Aldo sangat senang beuajar di kelas.,IPS,Subtitution Error
Semua guru baik dan ramah.,Semua guru baik dar ramah.,IPS,Subtitution Error
Ibu guru dan bapak guru selalu sabar membimbing aldo dan teman-teman.,Ibu guru dan bapak guru selalu sabax membimbing aldo dan teman-teman.,IPS,Subtitution Error
Aldo dan teman-teman jadi rajin belajar.,Aldo dan teman-teman jasi rajin belajar.,IPS,Subtitution Error
